,date,close,pe
0,2004-06-01,1000.0,30.68
1,2004-07-01,1000.0,37.06
2,2004-08-01,1000.0,29.74
3,2004-09-01,1000.0,34.46
4,2004-10-01,1000.0,33.7
5,2004-11-01,1000.0,33.69
6,2004-12-01,1000.0,31.33
7,2005-01-01,1000.0,27.62
8,2005-02-01,1000.0,30.03
9,2005-03-01,1000.0,25.6
10,2005-04-01,1000.0,25.51
11,2005-05-01,1000.0,22.98
12,2005-06-30,1175.05,25.94
13,2005-07-29,1183.23,26.09
14,2005-08-31,1305.51,28.0
15,2005-09-30,1354.52,28.73
16,2005-10-31,1364.44,27.67
17,2005-11-30,1439.0,24.8
18,2005-12-30,1415.65,24.49
19,2006-01-25,1440.75,24.88
20,2006-02-28,1449.61,21.7
21,2006-03-31,1517.32,22.93
22,2006-04-28,1740.21,26.37
23,2006-05-31,2115.67,32.17
24,2006-06-30,2251.55,35.97
25,2006-07-31,2026.25,32.34
26,2006-08-31,2119.69,34.56
27,2006-09-29,2225.44,36.48
28,2006-10-31,2156.57,36.22
29,2006-11-30,2306.28,38.38
30,2006-12-29,2493.26,42.03
31,2007-01-31,3103.99,51.12
32,2007-02-28,3207.25,51.77
33,2007-03-30,3602.45,49.14
34,2007-04-30,4256.97,55.44
35,2007-05-31,4636.94,60.12
36,2007-06-29,4347.96,57.46
37,2007-07-31,5164.34,70.91
38,2007-08-31,5641.78,79.56
39,2007-09-28,5576.22,78.45
40,2007-10-31,5246.98,73.45
41,2007-11-30,4783.65,67.21
42,2007-12-28,5926.7,85.07
43,2008-01-31,5415.52,74.61
44,2008-02-29,5786.37,68.86
45,2008-03-31,4680.23,47.17
46,2008-04-30,4543.86,41.96
47,2008-05-30,4407.37,40.46
48,2008-06-30,3444.68,31.4
49,2008-07-31,3724.64,33.78
50,2008-08-29,2965.12,26.68
51,2008-09-26,2622.11,23.68
52,2008-10-31,2026.21,18.48
53,2008-11-28,2387.88,21.51
54,2008-12-31,2730.11,24.96
55,2009-01-23,2952.94,27.33
56,2009-02-27,3077.86,28.37
57,2009-03-31,3653.82,29.08
58,2009-04-30,3969.56,32.81
59,2009-05-27,4159.15,34.54
60,2009-06-30,4325.63,35.92
61,2009-07-31,4774.27,40.3
62,2009-08-31,4135.33,34.59
63,2009-09-30,4438.54,37.51
64,2009-10-30,4882.35,41.65
65,2009-11-30,5558.48,48.49
66,2009-12-31,5814.99,51.01
67,2010-01-29,5665.33,49.75
68,2010-02-26,5907.48,50.83
69,2010-03-31,6189.33,47.28
70,2010-04-30,5939.44,44.19
71,2010-05-31,5669.92,43.19
72,2010-06-30,5231.9,39.99
73,2010-07-30,5911.67,44.94
74,2010-08-31,6665.39,51.03
75,2010-09-30,6700.27,50.91
76,2010-10-29,7363.39,55.39
77,2010-11-30,7562.94,57.79
78,2010-12-31,7465.49,56.93
79,2011-01-31,6767.88,50.81
80,2011-02-28,7393.29,53.6
81,2011-03-31,7084.62,43.34
82,2011-04-29,6729.63,37.71
83,2011-05-31,6195.71,34.6
84,2011-06-30,6518.81,35.95
85,2011-07-29,6672.61,37.53
86,2011-08-31,6489.37,36.75
87,2011-09-30,5685.36,32.2
88,2011-10-31,5923.82,33.66
89,2011-11-30,5690.81,32.53
90,2011-12-30,4920.98,28.26
91,2012-01-31,4758.46,27.02
92,2012-02-29,5372.7,30.2
93,2012-03-30,5045.38,27.9
94,2012-04-27,5236.0,26.73
95,2012-05-31,5402.09,27.88
96,2012-06-29,5165.4,26.86
97,2012-07-31,4758.15,24.72
98,2012-08-31,4774.44,24.8
99,2012-09-28,4859.11,25.29
100,2012-10-31,4790.58,24.97
101,2012-11-30,4184.48,21.76
102,2012-12-31,4840.73,25.42
103,2013-01-31,5112.73,26.76
104,2013-02-28,5309.61,28.03
105,2013-03-29,5213.42,27.87
106,2013-04-26,5077.77,28.05
107,2013-05-31,5869.52,32.56
108,2013-06-28,5066.18,28.0
109,2013-07-31,5374.44,29.76
110,2013-08-30,5711.03,31.46
111,2013-09-30,6109.55,33.57
112,2013-10-31,5823.09,32.62
113,2013-11-29,6250.75,34.72
114,2013-12-31,6115.56,34.07
115,2014-01-30,6313.75,35.17
116,2014-02-28,6442.82,36.4
117,2014-03-31,6058.69,32.99
118,2014-04-30,5987.12,31.45
119,2014-05-30,6156.83,32.27
120,2014-06-30,6404.58,33.5
121,2014-07-31,6764.14,35.23
122,2014-08-29,7121.27,37.19
123,2014-09-30,7904.18,41.71
124,2014-10-31,7953.97,42.13
125,2014-11-28,8136.55,43.26
126,2014-12-31,7698.01,41.06
127,2015-01-30,8421.07,45.74
128,2015-02-27,9120.18,48.77
129,2015-03-31,11169.23,56.29
130,2015-04-30,12659.68,59.2
131,2015-05-29,16117.6,76.11
132,2015-06-30,14093.58,66.2
133,2015-07-31,12239.49,58.29
134,2015-08-31,10434.44,49.89
135,2015-09-30,9988.75,48.16
136,2015-10-30,11747.68,56.73
137,2015-11-30,12827.46,62.83
138,2015-12-31,13492.71,68.06
139,2016-01-29,9747.92,49.4
140,2016-02-29,9511.54,48.13
141,2016-03-31,11151.63,52.74
142,2016-04-29,10990.35,46.74
143,2016-05-31,10961.0,46.63
144,2016-06-30,11574.35,49.64
145,2016-07-29,11370.45,48.79
146,2016-08-31,11806.81,50.92
147,2016-09-30,11605.91,49.99
148,2016-10-31,11920.79,51.7
149,2016-11-30,12068.62,52.79
150,2016-12-30,11483.98,50.35
151,2017-01-26,11187.49,49.83
152,2017-02-28,11612.72,52.76
153,2017-03-31,11619.11,47.47
154,2017-04-28,11167.92,41.95
155,2017-05-31,10619.49,39.76
156,2017-06-30,11203.99,41.68
157,2017-07-31,11174.64,41.25
158,2017-08-31,11532.6,42.87
159,2017-09-29,11799.02,43.91
160,2017-10-31,11916.2,44.61
161,2017-11-01,11897.98,44.62
162,2017-11-30,11378.02,42.47
