,date,close,pe
163,2017-12-29,11340.61,42.41
164,2018-01-31,11088.61,41.57
165,2018-02-28,10864.71,40.65
166,2018-03-30,10960.15,39.39
167,2018-04-27,10486.15,32.74
168,2018-05-31,10497.03,32.54
169,2018-06-29,9492.3,29.4
170,2018-07-31,9359.21,28.85
171,2018-08-31,8640.98,26.57
172,2018-09-28,8503.92,26.03
173,2018-10-31,7558.26,23.26
174,2018-11-30,7813.08,23.9
175,2018-12-28,7336.11,22.59
176,2019-01-31,7358.27,22.82
177,2019-02-28,8932.99,27.68
178,2019-03-29,9814.94,30.11
179,2019-04-30,9398.35,27.13
180,2019-05-31,8686.74,25.25
181,2019-06-28,8802.83,25.77
182,2019-07-31,8841.52,26.09
183,2019-08-30,8815.02,26.03
184,2019-09-30,8936.71,26.35
185,2019-10-31,9059.87,26.64
186,2019-11-29,8930.06,26.27
187,2019-12-31,9675.55,28.47
188,2020-01-23,10006.17,29.46
189,2020-02-28,10286.55,29.71
190,2020-03-31,9430.27,26.12
191,2020-04-30,10004.9,28.05
192,2020-05-29,10072.72,28.32
193,2020-06-30,11140.61,31.23
194,2020-07-31,12748.28,35.63
195,2020-08-31,12942.87,36.24
196,2020-09-30,12080.11,33.94
197,2020-10-30,12239.68,34.45
198,2020-11-30,12440.6,35.05
199,2020-12-31,12727.77,35.82
200,2021-01-29,12912.38,36.34
201,2021-02-26,12778.34,36.03
202,2021-03-31,12185.05,32.82
203,2021-04-02,12393.96,33.16
