,代码,名称,接待机构数量,接待日期,公告日期
98,601089,福元医药,2,2023-07-14,2023-08-08
99,300254,仟源医药,1,2023-08-07,2023-08-08
100,600343,航天动力,1,2023-08-07,2023-08-08
101,603162,海通发展,1,2023-08-07,2023-08-08
102,601089,福元医药,1,2023-07-12,2023-08-08
103,688062,迈威生物,132,2023-06-08,2023-08-07
104,002138,顺络电子,129,2023-07-31,2023-08-07
105,300638,广和通,125,2023-08-07,2023-08-07
106,300146,汤臣倍健,103,2023-08-05,2023-08-07
107,603809,豪能股份,90,2023-08-01,2023-08-07
108,002644,佛慈制药,83,2023-08-06,2023-08-07
109,688369,致远互联,83,2023-07-01,2023-08-07
110,688800,瑞可达,40,2023-07-01,2023-08-07
111,688501,青达环保,39,2023-07-04,2023-08-07
112,002138,顺络电子,32,2023-08-01,2023-08-07
113,300818,耐普矿机,25,2023-08-05,2023-08-07
114,688433,华曙高科,21,2023-07-01,2023-08-07
115,603215,比依股份,20,2023-07-04,2023-08-07
116,688118,普元信息,16,2023-07-04,2023-08-07
117,002998,优彩资源,14,2023-08-03,2023-08-07
118,605499,东鹏饮料,13,2023-07-04,2023-08-07
119,002488,金固股份,9,2023-08-04,2023-08-07
120,002583,海能达,9,2023-08-04,2023-08-07
121,688182,灿勤科技,5,2023-07-04,2023-08-07
122,002138,顺络电子,4,2023-08-03,2023-08-07
123,600116,三峡水利,3,2023-07-17,2023-08-07
124,688501,青达环保,3,2023-07-12,2023-08-07
125,605499,东鹏饮料,3,2023-07-05,2023-08-07
126,688550,瑞联新材,3,2023-07-01,2023-08-07
127,002138,顺络电子,2,2023-08-02,2023-08-07
128,688501,青达环保,2,2023-07-27,2023-08-07
129,688501,青达环保,2,2023-07-25,2023-08-07
130,688501,青达环保,2,2023-07-11,2023-08-07
131,605499,东鹏饮料,2,2023-07-03,2023-08-07
132,688199,久日新材,2,2023-07-01,2023-08-07
133,000530,冰山冷热,1,2023-08-07,2023-08-07
134,300852,四会富仕,1,2023-08-07,2023-08-07
135,603685,晨丰科技,1,2023-08-07,2023-08-07
136,603998,方盛制药,1,2023-08-03,2023-08-07
137,002759,天际股份,7,2023-08-04,2023-08-06
138,000408,藏格矿业,1,2023-08-04,2023-08-06
139,002891,中宠股份,178,2023-08-04,2023-08-04
140,688389,普门科技,157,2023-07-06,2023-08-04
141,688580,伟思医疗,83,2023-07-05,2023-08-04
142,605088,冠盛股份,77,2023-07-04,2023-08-04
143,600989,宝丰能源,44,2023-07-28,2023-08-04
144,688798,艾为电子,38,2023-07-03,2023-08-04
145,688575,亚辉龙,35,2023-07-01,2023-08-04
146,002083,孚日股份,34,2023-08-03,2023-08-04
147,301193,家联科技,33,2023-08-03,2023-08-04
148,688387,信科移动,22,2023-07-01,2023-08-04
149,600549,厦门钨业,22,2023-06-27,2023-08-04
150,600223,福瑞达,19,2023-07-06,2023-08-04
151,688047,龙芯中科,19,2023-07-01,2023-08-04
152,688008,澜起科技,18,2023-07-01,2023-08-04
153,688323,瑞华泰,13,2023-07-07,2023-08-04
154,688202,美迪西,12,2023-07-18,2023-08-04
155,000090,天健集团,11,2023-08-02,2023-08-04
156,300508,维宏股份,10,2023-08-03,2023-08-04
157,688202,美迪西,9,2023-07-07,2023-08-04
158,601963,重庆银行,9,2023-07-01,2023-08-04
159,688130,晶华微,9,2023-07-01,2023-08-04
160,603569,长久物流,8,2023-07-31,2023-08-04
161,603002,宏昌电子,4,2023-08-03,2023-08-04
162,688273,麦澜德,4,2023-07-11,2023-08-04
163,300508,维宏股份,3,2023-08-02,2023-08-04
164,688202,美迪西,3,2023-07-27,2023-08-04
165,688202,美迪西,3,2023-07-24,2023-08-04
166,688202,美迪西,3,2023-07-17,2023-08-04
167,300826,测绘股份,2,2023-08-03,2023-08-04
168,300080,易成新能,2,2023-08-01,2023-08-04
169,688202,美迪西,2,2023-07-12,2023-08-04
170,000530,冰山冷热,1,2023-08-04,2023-08-04
171,605507,国邦医药,1,2023-08-04,2023-08-04
172,300737,科顺股份,1,2023-08-03,2023-08-04
173,002713,东易日盛,1,2023-08-02,2023-08-04
174,688202,美迪西,1,2023-07-10,2023-08-04
175,688018,乐鑫科技,268,2023-07-04,2023-08-03
176,688147,微导纳米,135,2023-07-01,2023-08-03
177,301193,家联科技,109,2023-08-02,2023-08-03
178,603590,康辰药业,87,2023-08-01,2023-08-03
179,688160,步科股份,75,2023-07-05,2023-08-03
180,300456,赛微电子,59,2023-08-02,2023-08-03
181,300193,佳士科技,51,2023-08-01,2023-08-03
182,688359,三孚新科,42,2023-07-31,2023-08-03
183,603496,恒为科技,42,2023-07-01,2023-08-03
184,688160,步科股份,32,2023-07-06,2023-08-03
185,300193,佳士科技,27,2023-08-02,2023-08-03
186,688379,华光新材,24,2023-07-01,2023-08-03
187,688595,芯海科技,22,2023-07-01,2023-08-03
188,688185,康希诺,18,2023-07-01,2023-08-03
189,688696,极米科技,18,2023-07-01,2023-08-03
190,688226,威腾电气,16,2023-06-15,2023-08-03
191,688308,欧科亿,15,2023-07-11,2023-08-03
192,688160,步科股份,12,2023-07-11,2023-08-03
193,688084,晶品特装,12,2023-07-07,2023-08-03
194,688788,科思科技,12,2023-07-07,2023-08-03
195,688005,容百科技,9,2023-08-02,2023-08-03
196,000408,藏格矿业,8,2023-08-02,2023-08-03
197,688160,步科股份,7,2023-07-04,2023-08-03
198,688439,振华风光,7,2023-07-01,2023-08-03
199,300033,同花顺,6,2023-08-02,2023-08-03
200,688622,禾信仪器,6,2023-07-01,2023-08-03
201,300016,北陆药业,5,2023-08-03,2023-08-03
202,688251,井松智能,4,2023-08-02,2023-08-03
203,688308,欧科亿,4,2023-07-14,2023-08-03
204,603061,金海通,4,2023-07-01,2023-08-03
205,831087,秋乐种业,3,2023-08-02,2023-08-03
206,002533,金杯电工,3,2023-08-01,2023-08-03
207,688160,步科股份,3,2023-07-13,2023-08-03
208,688160,步科股份,3,2023-07-12,2023-08-03
209,688662,富信科技,3,2023-07-04,2023-08-03
210,603190,亚通精工,3,2023-07-01,2023-08-03
211,000530,冰山冷热,2,2023-08-03,2023-08-03
212,002488,金固股份,2,2023-08-03,2023-08-03
213,300779,惠城环保,2,2023-08-02,2023-08-03
214,832225,利通科技,2,2023-08-01,2023-08-03
215,688308,欧科亿,2,2023-07-25,2023-08-03
216,688160,步科股份,2,2023-07-21,2023-08-03
217,688308,欧科亿,2,2023-07-19,2023-08-03
218,688160,步科股份,2,2023-07-17,2023-08-03
219,600166,福田汽车,2,2023-07-14,2023-08-03
220,688308,欧科亿,2,2023-07-12,2023-08-03
221,688160,步科股份,2,2023-07-07,2023-08-03
222,688359,三孚新科,2,2023-07-05,2023-08-03
223,688160,步科股份,2,2023-07-03,2023-08-03
224,002671,龙泉股份,1,2023-08-02,2023-08-03
225,601168,西部矿业,1,2023-08-02,2023-08-03
226,830879,基康仪器,1,2023-08-02,2023-08-03
227,688308,欧科亿,1,2023-07-27,2023-08-03
228,688308,欧科亿,1,2023-07-21,2023-08-03
229,688662,富信科技,1,2023-07-12,2023-08-03
230,688662,富信科技,1,2023-07-10,2023-08-03
231,600526,菲达环保,1,2023-07-01,2023-08-03
232,688116,天奈科技,192,2023-07-01,2023-08-02
233,002254,泰和新材,137,2023-07-30,2023-08-02
234,300463,迈克生物,107,2023-07-31,2023-08-02
235,605077,华康股份,101,2023-07-01,2023-08-02
236,688358,祥生医疗,79,2023-06-01,2023-08-02
237,002032,苏泊尔,65,2023-08-01,2023-08-02
238,300952,恒辉安防,46,2023-08-01,2023-08-02
239,002611,东方精工,41,2023-07-26,2023-08-02
240,688377,迪威尔,31,2023-06-01,2023-08-02
241,688396,华润微,28,2023-07-17,2023-08-02
242,300685,艾德生物,24,2023-08-01,2023-08-02
243,605090,九丰能源,22,2023-07-18,2023-08-02
244,688576,西山科技,21,2023-07-01,2023-08-02
245,688207,格灵深瞳,20,2023-07-01,2023-08-02
246,002488,金固股份,19,2023-08-02,2023-08-02
247,605090,九丰能源,17,2023-07-24,2023-08-02
248,000090,天健集团,16,2023-08-01,2023-08-02
249,688700,东威科技,16,2023-07-28,2023-08-02
250,000543,皖能电力,12,2023-07-21,2023-08-02
251,688552,航天南湖,11,2023-07-01,2023-08-02
252,688578,艾力斯,9,2023-07-13,2023-08-02
253,688578,艾力斯,8,2023-07-28,2023-08-02
254,605287,德才股份,6,2023-08-01,2023-08-02
255,688299,长阳科技,6,2023-07-18,2023-08-02
256,000543,皖能电力,6,2023-07-17,2023-08-02
257,688578,艾力斯,5,2023-07-21,2023-08-02
258,601133,柏诚股份,5,2023-07-01,2023-08-02
259,605398,新炬网络,5,2023-07-01,2023-08-02
260,688220,翱捷科技,5,2023-07-01,2023-08-02
261,300258,精锻科技,4,2023-07-27,2023-08-02
262,688306,均普智能,4,2023-07-04,2023-08-02
263,600066,宇通客车,4,2023-07-01,2023-08-02
264,688222,成都先导,3,2023-07-11,2023-08-02
265,688578,艾力斯,2,2023-07-24,2023-08-02
266,688578,艾力斯,2,2023-07-14,2023-08-02
267,688306,均普智能,2,2023-07-13,2023-08-02
268,688578,艾力斯,2,2023-07-10,2023-08-02
269,688222,成都先导,2,2023-07-05,2023-08-02
270,688222,成都先导,2,2023-07-03,2023-08-02
271,301268,铭利达,1,2023-08-02,2023-08-02
272,605090,九丰能源,1,2023-08-01,2023-08-02
273,688306,均普智能,1,2023-07-24,2023-08-02
274,601136,首创证券,1,2023-07-19,2023-08-02
275,688222,成都先导,1,2023-07-19,2023-08-02
276,688299,长阳科技,1,2023-07-17,2023-08-02
277,603711,香飘飘,216,2023-07-01,2023-08-01
278,688036,传音控股,169,2023-07-04,2023-08-01
279,688291,金橙子,144,2023-07-01,2023-08-01
280,603666,亿嘉和,109,2023-07-01,2023-08-01
281,688059,华锐精密,103,2023-07-01,2023-08-01
282,603208,江山欧派,95,2023-07-01,2023-08-01
283,605507,国邦医药,81,2023-07-31,2023-08-01
284,688629,华丰科技,66,2023-06-30,2023-08-01
285,300161,华中数控,54,2023-06-26,2023-08-01
286,002254,泰和新材,41,2023-07-29,2023-08-01
287,688589,力合微,34,2023-07-17,2023-08-01
288,688603,天承科技,33,2023-07-28,2023-08-01
289,688195,腾景科技,33,2023-07-05,2023-08-01
290,688593,新相微,31,2023-07-05,2023-08-01
291,688255,凯尔达,29,2023-07-07,2023-08-01
292,688343,云天励飞,29,2023-07-05,2023-08-01
293,688479,友车科技,28,2023-07-01,2023-08-01
294,688529,豪森股份,25,2023-07-04,2023-08-01
295,688110,东芯股份,24,2023-07-04,2023-08-01
296,301381,赛维时代,21,2023-07-26,2023-08-01
297,688249,晶合集成,21,2023-07-03,2023-08-01
298,300628,亿联网络,19,2023-07-01,2023-08-01
299,688175,高凌信息,19,2023-07-01,2023-08-01
300,688191,智洋创新,18,2023-07-07,2023-08-01
301,688179,阿拉丁,17,2023-07-01,2023-08-01
302,688152,麒麟信安,16,2023-07-04,2023-08-01
303,605196,华通线缆,15,2023-07-19,2023-08-01
304,601311,骆驼股份,14,2023-06-01,2023-08-01
305,603667,五洲新春,13,2023-07-25,2023-08-01
306,603667,五洲新春,13,2023-07-11,2023-08-01
307,603883,老百姓,13,2023-07-01,2023-08-01
308,605128,上海沿浦,12,2023-07-25,2023-08-01
309,603979,金诚信,12,2023-07-03,2023-08-01
310,688046,药康生物,12,2023-07-01,2023-08-01
311,688392,骄成超声,12,2023-07-01,2023-08-01
312,300459,汤姆猫,11,2023-07-31,2023-08-01
313,002254,泰和新材,11,2023-07-30,2023-08-01
314,688093,世华科技,10,2023-07-01,2023-08-01
315,603667,五洲新春,9,2023-07-13,2023-08-01
316,600267,海正药业,9,2023-07-05,2023-08-01
317,605128,上海沿浦,8,2023-07-18,2023-08-01
318,603800,道森股份,8,2023-06-01,2023-08-01
319,603037,凯众股份,7,2023-07-14,2023-08-01
320,688184,帕瓦股份,7,2023-07-07,2023-08-01
321,688319,欧林生物,7,2023-07-06,2023-08-01
322,688026,洁特生物,6,2023-07-06,2023-08-01
323,688080,映翰通,6,2023-07-01,2023-08-01
324,300653,正海生物,5,2023-07-31,2023-08-01
325,000999,华润三九,5,2023-07-24,2023-08-01
326,833171,国航远洋,4,2023-07-28,2023-08-01
327,688010,福光股份,4,2023-07-25,2023-08-01
328,688070,纵横股份,4,2023-07-19,2023-08-01
329,688799,华纳药厂,4,2023-07-10,2023-08-01
330,688210,统联精密,4,2023-07-05,2023-08-01
331,603667,五洲新春,4,2023-07-04,2023-08-01
332,688135,利扬芯片,4,2023-07-01,2023-08-01
333,603667,五洲新春,3,2023-07-26,2023-08-01
334,603660,苏州科达,3,2023-07-11,2023-08-01
335,688010,福光股份,3,2023-07-11,2023-08-01
336,600733,北汽蓝谷,3,2023-07-01,2023-08-01
337,002153,石基信息,2,2023-07-28,2023-08-01
338,600927,永安期货,2,2023-07-21,2023-08-01
339,603667,五洲新春,2,2023-07-21,2023-08-01
340,605128,上海沿浦,2,2023-07-21,2023-08-01
341,688038,中科通达,2,2023-07-20,2023-08-01
342,688026,洁特生物,2,2023-07-19,2023-08-01
343,688335,复洁环保,2,2023-07-18,2023-08-01
344,688210,统联精密,2,2023-06-05,2023-08-01
345,300389,艾比森,1,2023-08-01,2023-08-01
346,300508,维宏股份,1,2023-07-28,2023-08-01
347,688799,华纳药厂,1,2023-07-28,2023-08-01
348,688799,华纳药厂,1,2023-07-13,2023-08-01
349,688184,帕瓦股份,1,2023-07-06,2023-08-01
350,688508,芯朋微,1,2023-07-06,2023-08-01
351,688799,华纳药厂,1,2023-07-04,2023-08-01
352,603660,苏州科达,1,2023-07-03,2023-08-01
353,600499,科达制造,1,2023-07-01,2023-08-01
354,601158,重庆水务,1,2023-07-01,2023-08-01
355,300740,水羊股份,295,2023-07-28,2023-07-31
356,688005,容百科技,276,2023-07-28,2023-07-31
357,688322,奥比中光,200,2023-07-01,2023-07-31
358,300760,迈瑞医疗,169,2023-07-03,2023-07-31
359,688733,壹石通,92,2023-07-27,2023-07-31
360,688686,奥普特,88,2023-07-03,2023-07-31
361,300246,宝莱特,83,2023-07-28,2023-07-31
362,688581,安杰思,83,2023-07-11,2023-07-31
363,688257,新锐股份,82,2023-07-07,2023-07-31
364,688239,航宇科技,78,2023-07-21,2023-07-31
365,688198,佰仁医疗,74,2023-04-20,2023-07-31
366,688028,沃尔德,70,2023-07-07,2023-07-31
367,688556,高测股份,58,2023-07-01,2023-07-31
368,688698,伟创电气,57,2023-07-10,2023-07-31
369,300832,新产业,57,2023-07-03,2023-07-31
370,688525,佰维存储,54,2023-07-05,2023-07-31
371,605599,菜百股份,52,2023-07-17,2023-07-31
372,688066,航天宏图,45,2023-07-01,2023-07-31
373,688223,晶科能源,42,2023-07-01,2023-07-31
374,605599,菜百股份,38,2023-07-21,2023-07-31
375,605599,菜百股份,37,2023-07-25,2023-07-31
376,688102,斯瑞新材,34,2023-07-01,2023-07-31
377,688557,兰剑智能,32,2023-07-11,2023-07-31
378,688180,君实生物,28,2023-07-06,2023-07-31
379,688310,迈得医疗,27,2023-07-27,2023-07-31
380,688506,百利天恒,27,2023-07-05,2023-07-31
381,688266,泽璟制药,26,2023-07-25,2023-07-31
382,688328,深科达,26,2023-07-01,2023-07-31
383,000526,学大教育,25,2023-07-18,2023-07-31
384,688266,泽璟制药,25,2023-07-10,2023-07-31
385,688302,海创药业,25,2023-07-04,2023-07-31
386,300201,海伦哲,24,2023-07-27,2023-07-31
387,688627,精智达,23,2023-07-23,2023-07-31
388,600392,盛和资源,21,2023-07-01,2023-07-31
389,600478,科力远,20,2023-07-28,2023-07-31
390,601330,绿色动力,19,2023-07-04,2023-07-31
391,688206,概伦电子,19,2023-07-01,2023-07-31
392,000513,丽珠集团,16,2023-07-26,2023-07-31
393,688707,振华新材,16,2023-07-11,2023-07-31
394,688239,航宇科技,16,2023-07-07,2023-07-31
395,300378,鼎捷软件,13,2023-07-29,2023-07-31
396,605599,菜百股份,13,2023-07-20,2023-07-31
397,603163,圣晖集成,13,2023-07-11,2023-07-31
398,688618,三旺通信,13,2023-07-06,2023-07-31
399,688478,晶升股份,13,2023-07-01,2023-07-31
400,688278,特宝生物,11,2023-07-25,2023-07-31
401,688176,亚虹医药,11,2023-07-14,2023-07-31
402,688198,佰仁医疗,11,2023-05-17,2023-07-31
403,688610,埃科光电,10,2023-07-28,2023-07-31
404,300691,联合光电,10,2023-07-27,2023-07-31
405,688266,泽璟制药,10,2023-07-11,2023-07-31
406,688198,佰仁医疗,9,2023-06-29,2023-07-31
407,688239,航宇科技,8,2023-07-13,2023-07-31
408,603369,今世缘,8,2023-07-01,2023-07-31
409,001380,华纬科技,7,2023-07-28,2023-07-31
410,002276,万马股份,7,2023-07-27,2023-07-31
411,688368,晶丰明源,7,2023-07-27,2023-07-31
412,688520,神州细胞,7,2023-07-14,2023-07-31
413,688198,佰仁医疗,7,2023-06-27,2023-07-31
414,688520,神州细胞,6,2023-07-27,2023-07-31
415,688368,晶丰明源,6,2023-07-18,2023-07-31
416,688276,百克生物,6,2023-07-12,2023-07-31
417,688067,爱威科技,6,2023-07-11,2023-07-31
418,688258,卓易信息,6,2023-07-01,2023-07-31
419,688198,佰仁医疗,6,2023-05-12,2023-07-31
420,603130,云中马,5,2023-07-27,2023-07-31
421,603677,奇精机械,5,2023-07-21,2023-07-31
422,688368,晶丰明源,5,2023-07-20,2023-07-31
423,688557,兰剑智能,5,2023-07-18,2023-07-31
424,688198,佰仁医疗,5,2023-07-07,2023-07-31
425,688198,佰仁医疗,5,2023-03-02,2023-07-31
426,688239,航宇科技,4,2023-07-27,2023-07-31
427,002334,英威腾,4,2023-07-26,2023-07-31
428,688028,沃尔德,4,2023-07-19,2023-07-31
429,688520,神州细胞,4,2023-07-06,2023-07-31
430,002182,云海金属,3,2023-07-31,2023-07-31
431,688048,长光华芯,3,2023-07-28,2023-07-31
432,300217,东方电热,3,2023-07-26,2023-07-31
433,603383,顶点软件,3,2023-07-26,2023-07-31
434,603383,顶点软件,3,2023-07-25,2023-07-31
435,603677,奇精机械,3,2023-07-20,2023-07-31
436,603938,三孚股份,3,2023-07-14,2023-07-31
437,688368,晶丰明源,3,2023-07-11,2023-07-31
438,002334,英威腾,2,2023-07-28,2023-07-31
439,688143,长盈通,2,2023-07-28,2023-07-31
440,300217,东方电热,2,2023-07-27,2023-07-31
441,603383,顶点软件,2,2023-07-27,2023-07-31
442,688520,神州细胞,2,2023-07-21,2023-07-31
443,688143,长盈通,2,2023-07-20,2023-07-31
444,688229,博睿数据,2,2023-07-20,2023-07-31
445,688143,长盈通,2,2023-07-17,2023-07-31
446,603383,顶点软件,2,2023-07-11,2023-07-31
447,603677,奇精机械,2,2023-07-11,2023-07-31
448,688286,敏芯股份,2,2023-07-10,2023-07-31
449,688143,长盈通,2,2023-07-07,2023-07-31
450,688198,佰仁医疗,2,2023-04-27,2023-07-31
451,688198,佰仁医疗,2,2023-03-13,2023-07-31
452,688198,佰仁医疗,1,2023-07-28,2023-07-31
453,834062,科润智控,1,2023-07-28,2023-07-31
454,002334,英威腾,1,2023-07-27,2023-07-31
455,688198,佰仁医疗,1,2023-07-27,2023-07-31
456,835305,云创数据,1,2023-07-27,2023-07-31
457,688266,泽璟制药,1,2023-07-24,2023-07-31
458,688266,泽璟制药,1,2023-07-21,2023-07-31
459,688198,佰仁医疗,1,2023-07-20,2023-07-31
460,603383,顶点软件,1,2023-07-14,2023-07-31
461,603383,顶点软件,1,2023-07-12,2023-07-31
462,688143,长盈通,1,2023-07-11,2023-07-31
463,688239,航宇科技,1,2023-07-11,2023-07-31
464,688028,沃尔德,1,2023-07-10,2023-07-31
465,688143,长盈通,1,2023-07-06,2023-07-31
466,688239,航宇科技,1,2023-07-05,2023-07-31
467,688109,品茗科技,1,2023-07-04,2023-07-31
468,002833,弘亚数控,17,2023-07-29,2023-07-30
469,300459,汤姆猫,12,2023-07-26,2023-07-30
470,300409,道氏技术,9,2023-07-27,2023-07-30
471,300243,瑞丰高材,2,2023-07-28,2023-07-30
472,002121,科陆电子,1,2023-07-28,2023-07-30
473,000090,天健集团,11,2023-07-27,2023-07-29
474,002524,光正眼科,7,2023-07-25,2023-07-29
475,002524,光正眼科,6,2023-07-20,2023-07-29
476,002567,唐人神,5,2023-07-26,2023-07-29
477,301135,瑞德智能,2,2023-07-29,2023-07-29
478,000090,天健集团,2,2023-07-28,2023-07-29
479,300803,指南针,62,2023-07-21,2023-07-28
480,688262,国芯科技,60,2023-07-05,2023-07-28
481,002886,沃特股份,41,2023-07-27,2023-07-28
482,002549,凯美特气,39,2023-07-28,2023-07-28
483,832982,锦波生物,37,2023-07-24,2023-07-28
484,688631,莱斯信息,37,2023-07-04,2023-07-28
485,000876,新希望,34,2023-07-17,2023-07-28
486,301095,广立微,30,2023-07-10,2023-07-28
487,688778,厦钨新能,27,2023-06-01,2023-07-28
488,688385,复旦微电,25,2023-07-06,2023-07-28
489,300572,安车检测,24,2023-07-28,2023-07-28
490,688079,美迪凯,24,2023-07-25,2023-07-28
491,688115,思林杰,20,2023-06-29,2023-07-28
492,688515,裕太微,19,2023-07-01,2023-07-28
493,001230,劲旅环境,17,2023-07-28,2023-07-28
494,300815,玉禾田,16,2023-07-26,2023-07-28
495,600977,中国电影,16,2023-06-01,2023-07-28
496,002527,新时达,15,2023-07-28,2023-07-28
497,603569,长久物流,15,2023-07-24,2023-07-28
498,003004,声迅股份,13,2023-07-26,2023-07-28
499,688293,奥浦迈,13,2023-07-19,2023-07-28
500,301106,骏成科技,12,2023-07-28,2023-07-28
501,002635,安洁科技,12,2023-07-26,2023-07-28
502,603676,卫信康,12,2023-07-01,2023-07-28
503,688159,有方科技,11,2023-07-26,2023-07-28
504,000543,皖能电力,11,2023-07-14,2023-07-28
505,003004,声迅股份,9,2023-07-27,2023-07-28
506,688293,奥浦迈,9,2023-07-05,2023-07-28
507,000530,冰山冷热,8,2023-07-28,2023-07-28
508,688293,奥浦迈,8,2023-07-20,2023-07-28
509,301360,荣旗科技,8,2023-07-01,2023-07-28
510,688293,奥浦迈,8,2023-06-30,2023-07-28
511,600196,复星医药,7,2023-07-28,2023-07-28
512,605488,福莱新材,7,2023-07-26,2023-07-28
513,000061,农产品,6,2023-07-27,2023-07-28
514,688103,国力股份,6,2023-07-27,2023-07-28
515,301153,中科江南,5,2023-07-27,2023-07-28
516,871753,天纺标,5,2023-07-27,2023-07-28
517,688566,吉贝尔,5,2023-07-21,2023-07-28
