,代码,名称,接待机构数量,接待日期,公告日期
0,688519,南亚新材,48,2023-08-08,2023-08-11
1,001301,尚太科技,31,2023-08-10,2023-08-11
2,600691,阳煤化工,12,2023-08-10,2023-08-11
3,688393,安必平,5,2023-07-01,2023-08-11
4,000968,蓝焰控股,4,2023-08-09,2023-08-11
5,001333,光华股份,3,2023-08-09,2023-08-11
6,002046,国机精工,1,2023-08-10,2023-08-11
7,002991,甘源食品,1,2023-08-10,2023-08-11
8,300790,宇瞳光学,1,2023-08-10,2023-08-11
9,601985,中国核电,1,2023-07-01,2023-08-11
10,300285,国瓷材料,183,2023-08-08,2023-08-10
11,300634,彩讯股份,171,2023-08-08,2023-08-10
12,300818,耐普矿机,91,2023-08-10,2023-08-10
13,603579,荣泰健康,83,2023-08-08,2023-08-10
14,688586,江航装备,74,2023-01-01,2023-08-10
15,688097,博众精工,64,2023-07-01,2023-08-10
16,688349,三一重能,52,2023-08-04,2023-08-10
17,301171,易点天下,34,2023-08-10,2023-08-10
18,300349,金卡智能,31,2023-08-09,2023-08-10
19,688132,邦彦技术,24,2023-07-01,2023-08-10
20,688165,埃夫特,18,2023-07-04,2023-08-10
21,300146,汤臣倍健,17,2023-08-09,2023-08-10
22,300818,耐普矿机,15,2023-08-09,2023-08-10
23,002169,智光电气,14,2023-08-01,2023-08-10
24,688523,航天环宇,14,2023-07-05,2023-08-10
25,300068,南都电源,13,2023-08-10,2023-08-10
26,000552,甘肃能化,11,2023-08-09,2023-08-10
27,688165,埃夫特,9,2023-07-27,2023-08-10
28,002611,东方精工,7,2023-08-08,2023-08-10
29,002314,南山控股,4,2023-08-08,2023-08-10
30,600009,上海机场,4,2023-07-06,2023-08-10
31,300818,耐普矿机,3,2023-08-08,2023-08-10
32,688165,埃夫特,3,2023-07-07,2023-08-10
33,688165,埃夫特,2,2023-07-14,2023-08-10
34,300908,仲景食品,1,2023-08-10,2023-08-10
35,002595,豪迈科技,1,2023-08-09,2023-08-10
36,002736,国信证券,1,2023-08-08,2023-08-10
37,603998,方盛制药,1,2023-08-08,2023-08-10
38,688165,埃夫特,1,2023-07-19,2023-08-10
39,688165,埃夫特,1,2023-07-12,2023-08-10
40,605399,晨光新材,1,2023-07-01,2023-08-10
41,603309,维力医疗,143,2023-08-09,2023-08-09
42,688100,威胜信息,139,2023-07-01,2023-08-09
43,603209,兴通股份,127,2023-08-03,2023-08-09
44,605300,佳禾食品,83,2023-07-01,2023-08-09
45,300453,三鑫医疗,77,2023-08-09,2023-08-09
46,002233,塔牌集团,76,2023-08-08,2023-08-09
47,600131,国网信通,45,2022-11-18,2023-08-09
48,603992,松霖科技,40,2023-07-01,2023-08-09
49,688181,八亿时空,39,2023-08-08,2023-08-09
50,837242,建邦科技,33,2023-08-08,2023-08-09
51,830779,武汉蓝电,31,2023-08-07,2023-08-09
52,688786,悦安新材,28,2023-07-01,2023-08-09
53,688403,汇成股份,20,2023-07-01,2023-08-09
54,600131,国网信通,16,2023-06-14,2023-08-09
55,600131,国网信通,11,2023-03-22,2023-08-09
56,002577,雷柏科技,9,2023-08-09,2023-08-09
57,000090,天健集团,7,2023-08-08,2023-08-09
58,000663,永安林业,4,2023-07-20,2023-08-09
59,600211,西藏药业,4,2023-07-01,2023-08-09
60,600131,国网信通,4,2023-06-29,2023-08-09
61,300580,贝斯特,3,2023-08-08,2023-08-09
62,600131,国网信通,3,2023-07-11,2023-08-09
63,000530,冰山冷热,2,2023-08-09,2023-08-09
64,000663,永安林业,2,2023-08-08,2023-08-09
65,688776,国光电气,2,2023-07-26,2023-08-09
66,688388,嘉元科技,2,2023-07-01,2023-08-09
67,002255,海陆重工,1,2023-08-09,2023-08-09
68,300080,易成新能,1,2023-08-08,2023-08-09
69,000663,永安林业,1,2023-08-01,2023-08-09
70,688776,国光电气,1,2023-07-25,2023-08-09
71,600184,光电股份,1,2023-07-20,2023-08-09
72,600131,国网信通,1,2023-05-18,2023-08-09
73,600131,国网信通,1,2022-12-07,2023-08-09
74,600131,国网信通,1,2022-09-16,2023-08-09
75,600131,国网信通,1,2022-08-30,2023-08-09
76,600885,宏发股份,356,2023-08-04,2023-08-08
77,688772,珠海冠宇,325,2023-07-01,2023-08-08
78,688235,百济神州,187,2023-08-04,2023-08-08
79,300068,南都电源,145,2023-08-07,2023-08-08
80,688677,海泰新光,58,2023-07-13,2023-08-08
81,300761,立华股份,57,2023-08-07,2023-08-08
82,688472,阿特斯,55,2023-07-01,2023-08-08
83,001308,康冠科技,42,2023-08-07,2023-08-08
84,600141,兴发集团,37,2023-08-07,2023-08-08
85,688677,海泰新光,34,2023-07-05,2023-08-08
86,688677,海泰新光,23,2023-07-20,2023-08-08
87,300164,通源石油,19,2023-08-07,2023-08-08
88,688787,海天瑞声,16,2023-07-18,2023-08-08
89,000989,九芝堂,14,2023-08-08,2023-08-08
90,688677,海泰新光,11,2023-07-28,2023-08-08
91,688677,海泰新光,8,2023-07-14,2023-08-08
92,688677,海泰新光,6,2023-07-19,2023-08-08
93,688711,宏微科技,6,2023-07-14,2023-08-08
94,600163,中闽能源,4,2023-07-01,2023-08-08
95,002152,广电运通,3,2023-08-04,2023-08-08
96,300722,新余国科,2,2023-08-08,2023-08-08
97,001258,立新能源,2,2023-08-04,2023-08-08
