,date,unit,accu,change_rate,accu_qfq
0,2023-05-29,1.497,1.497,-1.4,1.497
1,2023-05-26,1.5182,1.5182,-1.61,1.5182
2,2023-05-25,1.543,1.543,-0.56,1.543
3,2023-05-24,1.5517,1.5517,-0.6,1.5517
4,2023-05-23,1.5611,1.5611,-1.1,1.5611
5,2023-05-22,1.5785,1.5785,0.73,1.5785
6,2023-05-19,1.567,1.567,-0.5,1.567
7,2023-05-18,1.5749,1.5749,-1.09,1.5749
8,2023-05-17,1.5923,1.5923,-0.48,1.5923
9,2023-05-16,1.6,1.6,-0.07,1.6
10,2023-05-15,1.6012,1.6012,3.76,1.6012
11,2023-05-12,1.5432,1.5432,-1.47,1.5432
12,2023-05-11,1.5663,1.5663,1.73,1.5663
13,2023-05-10,1.5397,1.5397,2.91,1.5397
14,2023-05-09,1.4962,1.4962,-1.8,1.4962
15,2023-05-08,1.5237,1.5237,0.67,1.5237
16,2023-05-05,1.5135,1.5135,-1.26,1.5135
17,2023-05-04,1.5328,1.5328,-0.82,1.5328
18,2023-04-28,1.5454,1.5454,-0.4,1.5454
19,2023-04-27,1.5516,1.5516,0.9,1.5516
20,2023-04-26,1.5378,1.5378,4.07,1.5378
21,2023-04-25,1.4777,1.4777,-4.52,1.4777
22,2023-04-24,1.5477,1.5477,-1.09,1.5477
23,2023-04-21,1.5648,1.5648,-1.38,1.5648
24,2023-04-20,1.5867,1.5867,-2.99,1.5867
25,2023-04-19,1.6356,1.6356,-0.47,1.6356
26,2023-04-18,1.6433,1.6433,-0.05,1.6433
27,2023-04-17,1.6442,1.6442,0.78,1.6442
28,2023-04-14,1.6314,1.6314,2.46,1.6314
29,2023-04-13,1.5922,1.5922,-1.1,1.5922
30,2023-04-12,1.6099,1.6099,-1.49,1.6099
31,2023-04-11,1.6342,1.6342,0.23,1.6342
32,2023-04-10,1.6305,1.6305,2.17,1.6305
33,2023-04-07,1.5959,1.5959,0.18,1.5959
34,2023-04-06,1.593,1.593,-0.36,1.593
35,2023-04-04,1.5988,1.5988,-2.39,1.5988
36,2023-04-03,1.6379,1.6379,0.43,1.6379
37,2023-03-31,1.6309,1.6309,0.15,1.6309
38,2023-03-30,1.6285,1.6285,0.81,1.6285
39,2023-03-29,1.6154,1.6154,0.62,1.6154
40,2023-03-28,1.6054,1.6054,-0.91,1.6054
41,2023-03-27,1.6201,1.6201,0.24,1.6201
42,2023-03-24,1.6162,1.6162,0.23,1.6162
43,2023-03-23,1.6125,1.6125,-0.42,1.6125
44,2023-03-22,1.6193,1.6193,0.73,1.6193
45,2023-03-21,1.6076,1.6076,2.34,1.6076
46,2023-03-20,1.5709,1.5709,0.27,1.5709
47,2023-03-17,1.5666,1.5666,-0.31,1.5666
48,2023-03-16,1.5714,1.5714,-1.97,1.5714
49,2023-03-15,1.603,1.603,-0.4,1.603
50,2023-03-14,1.6095,1.6095,-0.83,1.6095
51,2023-03-13,1.623,1.623,-1.34,1.623
52,2023-03-10,1.645,1.645,-1.46,1.645
53,2023-03-09,1.6693,1.6693,0.22,1.6693
54,2023-03-08,1.6657,1.6657,-0.46,1.6657
55,2023-03-07,1.6734,1.6734,-1.65,1.6734
56,2023-03-06,1.7015,1.7015,0.16,1.7015
57,2023-03-03,1.6987,1.6987,-0.25,1.6987
58,2023-03-02,1.7029,1.7029,-1.36,1.7029
59,2023-03-01,1.7264,1.7264,0.55,1.7264
60,2023-02-28,1.717,1.717,0.54,1.717
61,2023-02-27,1.7077,1.7077,-0.85,1.7077
62,2023-02-24,1.7224,1.7224,-1.19,1.7224
63,2023-02-23,1.7432,1.7432,0.45,1.7432
64,2023-02-22,1.7354,1.7354,-1.06,1.7354
65,2023-02-21,1.754,1.754,0.33,1.754
66,2023-02-20,1.7482,1.7482,0.02,1.7482
67,2023-02-17,1.7478,1.7478,-2.14,1.7478
68,2023-02-16,1.786,1.786,-1.74,1.786
