,date,unit,accu,change_rate,accu_qfq
0,2020-03-06,1.0003,1.0003,,10.0033
1,2020-03-13,0.9974,0.9974,,9.9743
2,2020-03-20,0.9949,0.9949,,9.9493
3,2020-03-27,9.9326,0.9933,,9.9333
4,2020-03-30,9.8937,0.9544,-0.39,9.5443
5,2020-04-03,9.8972,0.9897,,9.8973
6,2020-04-07,9.9847,0.9985,0.88,9.9853
7,2020-04-08,9.9875,0.9988,0.03,9.9883
8,2020-04-09,10.0077,1.0008,0.2,10.0083
9,2020-04-10,9.9512,0.9951,-0.56,9.9513
10,2020-04-13,9.8761,0.9876,-0.75,9.8763
11,2020-04-14,9.8973,0.9897,0.21,9.8973
12,2020-04-15,9.8851,0.9885,-0.12,9.8853
13,2020-04-16,9.9124,0.9912,0.28,9.9123
14,2020-04-17,9.9388,0.9939,0.27,9.9393
15,2020-04-20,9.9597,0.996,0.21,9.9603
16,2020-04-21,9.9363,0.9936,-0.23,9.9363
17,2020-04-22,9.9604,0.996,0.24,9.9603
18,2020-04-23,9.9555,0.9956,-0.05,9.9563
19,2020-04-24,9.9237,0.9924,-0.32,9.9243
20,2020-04-27,9.9402,0.994,0.17,9.9403
21,2020-04-28,9.9357,0.9936,-0.05,9.9363
22,2020-04-29,9.9424,0.9942,0.07,9.9423
23,2020-04-30,9.9939,0.9994,0.52,9.9943
24,2020-05-06,10.0064,1.0006,0.13,10.0063
25,2020-05-07,9.9813,0.9981,-0.25,9.9813
26,2020-05-08,9.9937,0.9994,0.12,9.9943
27,2020-05-11,9.9734,0.9973,-0.2,9.9733
28,2020-05-12,9.9455,0.9946,-0.28,9.9463
29,2020-05-13,9.9292,0.9929,-0.16,9.9293
30,2020-05-14,9.8651,0.9865,-0.65,9.8653
31,2020-05-15,9.8539,0.9854,-0.11,9.8543
32,2020-05-18,9.7939,0.9794,-0.61,9.7943
33,2020-05-19,9.779,0.9779,-0.15,9.7793
34,2020-05-20,9.7062,0.9706,-0.74,9.7063
35,2020-05-21,9.6826,0.9683,-0.24,9.6833
36,2020-05-22,9.6384,0.9638,-0.46,9.6383
37,2020-05-25,9.5706,0.9571,-0.7,9.5713
38,2020-05-26,9.617,0.9617,0.48,9.6173
39,2020-05-27,9.6145,0.9615,-0.03,9.6153
40,2020-05-28,9.6258,0.9626,0.12,9.6263
41,2020-05-29,9.705,0.9705,0.82,9.7053
42,2020-06-01,9.801,0.9801,0.99,9.8013
43,2020-06-02,9.8084,0.9808,0.08,9.8083
44,2020-06-03,9.7806,0.9781,-0.28,9.7813
45,2020-06-04,9.7455,0.9746,-0.36,9.7463
46,2020-06-05,9.7235,0.9724,-0.23,9.7243
47,2020-06-08,9.7239,0.9724,0.0,9.7243
48,2020-06-09,9.7232,0.9723,-0.01,9.7233
49,2020-06-10,9.7079,0.9708,-0.16,9.7083
50,2020-06-11,9.6769,0.9677,-0.32,9.6773
51,2020-06-12,9.6904,0.969,0.14,9.6903
52,2020-06-15,9.6949,0.9695,0.05,9.6953
53,2020-06-16,9.7349,0.9735,0.41,9.7353
54,2020-06-17,9.7344,0.9734,-0.01,9.7343
55,2020-06-18,9.7444,0.9744,0.1,9.7443
56,2020-06-19,9.7585,0.9759,0.14,9.7593
57,2020-06-22,9.737,0.9737,-0.22,9.7373
58,2020-06-23,9.7019,0.9702,-0.36,9.7023
59,2020-06-24,9.7221,0.9722,0.21,9.7223
60,2020-06-29,9.6775,0.9678,-0.46,9.6783
61,2020-06-30,9.7254,0.9725,0.5,9.7253
62,2020-07-01,9.8199,0.982,0.97,9.8203
63,2020-07-02,9.9654,0.9965,1.48,9.9653
64,2020-07-03,10.0894,1.0089,1.24,10.0893
65,2020-07-06,10.3918,1.0392,3.0,10.3923
66,2020-07-07,10.395,1.0395,0.03,10.3953
67,2020-07-08,10.4874,1.0487,0.89,10.4873
68,2020-07-09,10.5776,1.0578,0.86,10.5783
69,2020-07-10,10.4481,1.0448,-1.22,10.4483
70,2020-07-13,10.5727,1.0573,1.19,10.5733
71,2020-07-14,10.487,1.0487,-0.81,10.4873
72,2020-07-15,10.376,1.0376,-1.06,10.3763
73,2020-07-16,10.1197,1.012,-2.47,10.1203
74,2020-07-17,10.1255,1.0126,0.06,10.1263
75,2020-07-20,10.3028,1.0303,1.75,10.3033
76,2020-07-21,10.3125,1.0313,0.09,10.3133
77,2020-07-22,10.3654,1.0365,0.51,10.3653
78,2020-07-23,10.3557,1.0356,-0.09,10.3563
79,2020-07-24,10.1713,1.0171,-1.78,10.1713
80,2020-07-27,10.1412,1.0141,-0.3,10.1413
81,2020-07-28,10.199,1.0199,0.57,10.1993
82,2020-07-29,10.3123,1.0312,1.11,10.3123
83,2020-07-30,10.3166,1.0317,0.04,10.3173
84,2020-07-31,10.3686,1.0369,0.5,10.3693
85,2020-08-03,10.4904,1.049,1.17,10.4903
86,2020-08-04,10.4893,1.0489,-0.01,10.4893
87,2020-08-05,10.5459,1.0546,0.54,10.5463
88,2020-08-06,10.5597,1.056,0.13,10.5603
89,2020-08-07,10.4779,1.0478,-0.77,10.4783
90,2020-08-10,10.4772,1.0477,-0.01,10.4773
91,2020-08-11,10.4031,1.0403,-0.71,10.4033
92,2020-08-12,10.3399,1.034,-0.61,10.3403
93,2020-08-13,10.3789,1.0379,0.38,10.3793
94,2020-08-14,10.4256,1.0426,0.45,10.4263
95,2020-08-17,10.5178,1.0518,0.88,10.5183
96,2020-08-18,10.5583,1.0558,0.39,10.5583
97,2020-08-19,10.5075,1.0508,-0.48,10.5083
98,2020-08-20,10.4235,1.0424,-0.8,10.4243
99,2020-08-21,10.4447,1.0445,0.2,10.4453
100,2020-08-24,10.4701,1.047,0.24,10.4703
101,2020-08-25,10.4579,1.0458,-0.12,10.4583
102,2020-08-26,10.3658,1.0366,-0.88,10.3663
103,2020-08-27,10.3769,1.0377,0.11,10.3773
104,2020-08-28,10.4472,1.0447,0.68,10.4473
105,2020-08-31,10.4706,1.0471,0.22,10.4713
106,2020-09-01,10.4999,1.05,0.28,10.5003
107,2020-09-02,10.5334,1.0533,0.32,10.5333
108,2020-09-03,10.5075,1.0508,-0.25,10.5083
109,2020-09-04,10.4822,1.0482,-0.24,10.4823
110,2020-09-07,10.361,1.0361,-1.16,10.3613
111,2020-09-08,10.3419,1.0342,-0.18,10.3423
112,2020-09-09,10.236,1.0236,-1.02,10.2363
113,2020-09-10,10.1977,1.0198,-0.37,10.1983
114,2020-09-11,10.234,1.0234,0.36,10.2343
115,2020-09-14,10.2616,1.0262,0.27,10.2623
