,trade_date,total_mv,pe
155,20210224,33549.380000,88.21
156,20210223,34103.760000,89.84
157,20210222,34083.490000,89.72
158,20210219,34856.800000,91.84
159,20210218,34837.580000,91.62
160,20210210,34920.260000,91.89
161,20210209,34320.220000,90.81
162,20210208,33251.080000,87.93
163,20210205,32986.490000,87.79
164,20210204,33605.310000,89.41
165,20210203,34284.000000,91.18
166,20210202,35075.330000,93.12
167,20210201,34872.830000,92.58
168,20210129,34594.530000,92.14
169,20210128,34842.260000,92.49
170,20210127,35782.990000,95.24
171,20210126,36152.140000,96.10
172,20210125,36719.730000,98.20
173,20210122,36489.100000,98.18
174,20210121,35943.720000,96.77
175,20210120,35540.590000,96.12
176,20210119,34768.670000,93.70
177,20210118,35134.500000,94.84
178,20210115,33750.170000,95.35
179,20210114,33590.570000,94.55
180,20210113,32624.790000,92.20
181,20210112,32969.470000,93.33
182,20210111,32726.080000,92.56
183,20210108,32923.580000,92.87
184,20210107,33252.200000,93.82
185,20210106,33986.550000,96.00
186,20210105,34454.780000,97.23
187,20210104,34289.130000,97.11
188,20201231,33490.720000,94.63
189,20201230,32332.320000,92.24
190,20201229,31467.120000,90.32
191,20201228,31776.280000,91.18
192,20201225,32199.120000,92.34
193,20201224,31926.370000,91.69
194,20201223,32593.250000,94.72
195,20201222,32298.780000,94.05
196,20201221,32793.020000,95.59
197,20201218,32200.880000,93.88
198,20201217,32304.090000,94.48
199,20201216,31889.790000,93.44
200,20201215,31806.220000,93.29
201,20201214,31843.260000,93.36
202,20201211,31394.970000,92.37
203,20201210,31484.900000,92.75
204,20201209,31289.690000,92.46
205,20201208,31920.580000,94.28
206,20201207,31937.510000,94.07
207,20201204,31795.240000,93.84
208,20201203,31849.800000,94.02
209,20201202,31984.160000,94.37
210,20201201,31600.040000,93.89
211,20201130,31093.230000,92.31
212,20201127,30991.500000,92.03
213,20201126,30955.120000,91.77
214,20201125,31114.190000,92.18
215,20201124,31539.420000,93.60
216,20201123,30980.770000,92.94
217,20201120,31147.830000,93.41
218,20201119,31009.780000,93.21
219,20201118,30808.610000,92.43
220,20201117,30694.230000,92.38
221,20201116,31051.680000,93.47
