,date,unit,accu,change_rate,accu_qfq
0,2013-04-25,1.0,1.0,,0.2
1,2013-04-26,1.0,1.0,0.0,0.2
2,2013-05-03,1.0,1.0,0.0,0.2
3,2013-05-08,1.0,1.0,0.0,0.2
4,2013-05-10,1.001,1.001,0.1,0.2002
5,2013-05-14,1.001,1.001,0.0,0.2002
6,2013-05-15,1.001,1.001,0.0,0.2002
7,2013-05-16,1.003,1.003,0.2,0.2006
8,2013-05-17,1.004,1.004,0.1,0.2008
9,2013-05-20,1.006,1.006,0.2,0.2012
10,2013-05-21,1.006,1.006,0.0,0.2012
11,2013-05-22,0.999,0.999,-0.7,0.1998
12,2013-05-23,0.998,0.998,-0.1,0.1996
13,2013-05-24,0.997,0.997,-0.1,0.1994
14,2013-05-28,1.002,1.002,0.5,0.2004
15,2013-05-29,0.998,0.998,-0.4,0.1996
16,2013-05-30,1.002,1.002,0.4,0.2004
17,2013-05-31,0.994,0.994,-0.8,0.1988
18,2013-06-03,0.996,0.996,0.2,0.1992
19,2013-06-04,0.99,0.99,-0.6,0.198
20,2013-06-05,0.98,0.98,-1.01,0.196
21,2013-06-06,0.983,0.983,0.31,0.1966
22,2013-06-07,0.993,0.993,1.02,0.1986
23,2013-06-13,0.985,0.985,-0.81,0.197
24,2013-06-14,0.979,0.979,-0.61,0.1958
25,2013-06-17,0.987,0.987,0.82,0.1974
26,2013-06-18,0.996,0.996,0.91,0.1992
27,2013-06-19,0.985,0.985,-1.1,0.197
28,2013-06-20,0.961,0.961,-2.44,0.1922
29,2013-06-21,0.958,0.958,-0.31,0.1916
30,2013-06-24,0.949,0.949,-0.94,0.1898
31,2013-06-25,0.955,0.955,0.63,0.191
32,2013-06-26,0.964,0.964,0.94,0.1928
33,2013-06-27,0.968,0.968,0.41,0.1936
34,2013-06-28,0.969,0.969,0.1,0.1938
35,2013-06-30,0.969,0.969,0.0,0.1938
36,2013-07-01,0.975,0.975,0.62,0.195
37,2013-07-02,0.975,0.975,0.0,0.195
38,2013-07-03,0.98,0.98,0.51,0.196
39,2013-07-05,0.987,0.987,0.71,0.1974
40,2013-07-08,0.988,0.988,0.1,0.1976
41,2013-07-09,0.993,0.993,0.51,0.1986
42,2013-07-10,0.997,0.997,0.4,0.1994
43,2013-07-11,1.016,1.016,1.91,0.2032
44,2013-07-12,1.022,1.022,0.59,0.2044
45,2013-07-15,1.024,1.024,0.2,0.2048
46,2013-07-16,1.024,1.024,0.0,0.2048
47,2013-07-17,1.026,1.026,0.2,0.2052
48,2013-07-18,1.024,1.024,-0.19,0.2048
49,2013-07-19,1.013,1.013,-1.07,0.2026
50,2013-07-22,1.016,1.016,0.3,0.2032
51,2013-07-23,1.008,1.008,-0.79,0.2016
52,2013-07-24,1.011,1.011,0.3,0.2022
53,2013-07-25,1.019,1.019,0.79,0.2038
54,2013-07-26,1.023,1.023,0.39,0.2046
55,2013-07-29,1.021,1.021,-0.2,0.2042
56,2013-07-30,1.027,1.027,0.59,0.2054
57,2013-07-31,1.029,1.029,0.19,0.2058
58,2013-08-01,1.04,1.04,1.07,0.208
59,2013-08-02,1.046,1.046,0.58,0.2092
60,2013-08-05,1.046,1.046,0.0,0.2092
61,2013-08-06,1.039,1.039,-0.67,0.2078
62,2013-08-07,1.037,1.037,-0.19,0.2074
63,2013-08-08,1.042,1.042,0.48,0.2084
64,2013-08-09,1.037,1.037,-0.48,0.2074
65,2013-08-12,1.039,1.039,0.19,0.2078
66,2013-08-13,1.045,1.045,0.58,0.209
67,2013-08-14,1.041,1.041,-0.38,0.2082
68,2013-08-15,1.023,1.023,-1.73,0.2046
69,2013-08-16,1.021,1.021,-0.2,0.2042
70,2013-08-19,1.02,1.02,-0.1,0.204
71,2013-08-20,1.025,1.025,0.49,0.205
72,2013-08-21,1.021,1.021,-0.39,0.2042
73,2013-08-22,1.031,1.031,0.98,0.2062
74,2013-08-23,1.039,1.039,0.78,0.2078
75,2013-08-26,1.037,1.037,-0.19,0.2074
76,2013-08-27,1.017,1.017,-1.93,0.2034
77,2013-08-28,1.02,1.02,0.3,0.204
78,2013-08-29,1.027,1.027,0.69,0.2054
79,2013-08-30,1.021,1.021,-0.58,0.2042
80,2013-09-03,1.027,1.027,0.59,0.2054
81,2013-09-04,1.038,1.038,1.07,0.2076
82,2013-09-05,1.039,1.039,0.1,0.2078
83,2013-09-06,1.041,1.041,0.19,0.2082
84,2013-09-09,1.052,1.052,1.06,0.2104
85,2013-09-10,1.057,1.057,0.48,0.2114
86,2013-09-11,1.055,1.055,-0.19,0.211
87,2013-09-12,1.053,1.053,-0.19,0.2106
88,2013-09-13,1.054,1.054,0.1,0.2108
89,2013-09-16,1.051,1.051,-0.28,0.2102
