,date,unit,accu,change_rate,accu_qfq
0,2023-03-10,0.8058,0.8058,-1.01,0.8058
1,2023-03-09,0.814,0.814,-0.72,0.814
2,2023-03-08,0.8199,0.8199,-0.92,0.8199
3,2023-03-07,0.8275,0.8275,-1.24,0.8275
4,2023-03-06,0.8379,0.8379,-0.55,0.8379
5,2023-03-03,0.8425,0.8425,0.06,0.8425
6,2023-03-02,0.842,0.842,-0.21,0.842
7,2023-03-01,0.8438,0.8438,1.26,0.8438
8,2023-02-28,0.8333,0.8333,0.41,0.8333
9,2023-02-27,0.8299,0.8299,-0.46,0.8299
10,2023-02-24,0.8337,0.8337,-1.44,0.8337
11,2023-02-23,0.8459,0.8459,0.21,0.8459
12,2023-02-22,0.8441,0.8441,-1.32,0.8441
13,2023-02-21,0.8554,0.8554,0.29,0.8554
14,2023-02-20,0.8529,0.8529,2.08,0.8529
15,2023-02-17,0.8355,0.8355,-1.47,0.8355
16,2023-02-16,0.848,0.848,-0.55,0.848
17,2023-02-15,0.8527,0.8527,-0.7,0.8527
18,2023-02-14,0.8587,0.8587,0.05,0.8587
19,2023-02-13,0.8583,0.8583,0.87,0.8583
20,2023-02-10,0.8509,0.8509,-0.76,0.8509
21,2023-02-09,0.8574,0.8574,1.13,0.8574
22,2023-02-08,0.8478,0.8478,-0.41,0.8478
23,2023-02-07,0.8513,0.8513,-0.07,0.8513
24,2023-02-06,0.8519,0.8519,-1.62,0.8519
25,2023-02-03,0.8659,0.8659,-1.34,0.8659
26,2023-02-02,0.8777,0.8777,-0.35,0.8777
27,2023-02-01,0.8808,0.8808,0.86,0.8808
28,2023-01-31,0.8733,0.8733,-1.06,0.8733
29,2023-01-30,0.8827,0.8827,0.88,0.8827
30,2023-01-20,0.875,0.875,0.7,0.875
31,2023-01-19,0.8689,0.8689,0.39,0.8689
32,2023-01-18,0.8655,0.8655,-0.21,0.8655
33,2023-01-17,0.8673,0.8673,-0.21,0.8673
34,2023-01-16,0.8691,0.8691,1.45,0.8691
35,2023-01-13,0.8567,0.8567,1.4,0.8567
36,2023-01-12,0.8449,0.8449,0.42,0.8449
37,2023-01-11,0.8414,0.8414,0.02,0.8414
38,2023-01-10,0.8412,0.8412,0.33,0.8412
39,2023-01-09,0.8384,0.8384,0.95,0.8384
40,2023-01-06,0.8305,0.8305,0.63,0.8305
41,2023-01-05,0.8253,0.8253,2.48,0.8253
42,2023-01-04,0.8053,0.8053,-0.42,0.8053
43,2023-01-03,0.8087,0.8087,0.19,0.8087
44,2022-12-31,0.8072,0.8072,,0.8072
45,2022-12-30,0.8072,0.8072,0.32,0.8072
46,2022-12-29,0.8046,0.8046,-0.53,0.8046
47,2022-12-28,0.8089,0.8089,-0.23,0.8089
48,2022-12-27,0.8108,0.8108,1.17,0.8108
49,2022-12-26,0.8014,0.8014,0.41,0.8014
50,2022-12-23,0.7981,0.7981,-0.26,0.7981
51,2022-12-22,0.8002,0.8002,0.25,0.8002
52,2022-12-21,0.7982,0.7982,0.14,0.7982
53,2022-12-20,0.7971,0.7971,-1.77,0.7971
54,2022-12-19,0.8115,0.8115,-1.24,0.8115
55,2022-12-16,0.8217,0.8217,0.2,0.8217
56,2022-12-15,0.8201,0.8201,0.2,0.8201
57,2022-12-14,0.8185,0.8185,0.38,0.8185
58,2022-12-13,0.8154,0.8154,-0.33,0.8154
59,2022-12-12,0.8181,0.8181,-1.4,0.8181
60,2022-12-09,0.8297,0.8297,1.1,0.8297
61,2022-12-08,0.8207,0.8207,0.2,0.8207
62,2022-12-07,0.8191,0.8191,0.16,0.8191
63,2022-12-06,0.8178,0.8178,0.89,0.8178
64,2022-12-05,0.8106,0.8106,1.39,0.8106
65,2022-12-02,0.7995,0.7995,-0.57,0.7995
66,2022-12-01,0.8041,0.8041,1.57,0.8041
67,2022-11-30,0.7917,0.7917,0.24,0.7917
68,2022-11-29,0.7898,0.7898,3.13,0.7898
69,2022-11-28,0.7658,0.7658,-1.2,0.7658
70,2022-11-25,0.7751,0.7751,0.51,0.7751
71,2022-11-24,0.7712,0.7712,-0.34,0.7712
72,2022-11-23,0.7738,0.7738,-0.15,0.7738
73,2022-11-22,0.775,0.775,-0.08,0.775
74,2022-11-21,0.7756,0.7756,-0.87,0.7756
75,2022-11-18,0.7824,0.7824,-0.09,0.7824
76,2022-11-17,0.7831,0.7831,-0.99,0.7831
77,2022-11-16,0.7909,0.7909,-0.83,0.7909
78,2022-11-15,0.7975,0.7975,1.61,0.7975
79,2022-11-14,0.7849,0.7849,-0.06,0.7849
80,2022-11-11,0.7854,0.7854,3.38,0.7854
81,2022-11-10,0.7597,0.7597,-1.09,0.7597
82,2022-11-09,0.7681,0.7681,-1.06,0.7681
83,2022-11-08,0.7763,0.7763,-0.83,0.7763
84,2022-11-07,0.7828,0.7828,0.75,0.7828
85,2022-11-04,0.777,0.777,3.63,0.777
86,2022-11-03,0.7498,0.7498,-1.29,0.7498
87,2022-11-02,0.7596,0.7596,1.29,0.7596
88,2022-11-01,0.7499,0.7499,4.11,0.7499
89,2022-10-31,0.7203,0.7203,-1.13,0.7203
90,2022-10-28,0.7285,0.7285,-2.41,0.7285
91,2022-10-27,0.7465,0.7465,-1.19,0.7465
92,2022-10-26,0.7555,0.7555,0.37,0.7555
93,2022-10-25,0.7527,0.7527,-0.03,0.7527
94,2022-10-24,0.7529,0.7529,-3.47,0.7529
95,2022-10-21,0.78,0.78,-0.34,0.78
96,2022-10-20,0.7827,0.7827,-0.99,0.7827
97,2022-10-19,0.7905,0.7905,-1.79,0.7905
98,2022-10-18,0.8049,0.8049,-0.15,0.8049
99,2022-10-17,0.8061,0.8061,-0.31,0.8061
100,2022-10-14,0.8086,0.8086,2.74,0.8086
101,2022-10-13,0.787,0.787,-1.17,0.787
102,2022-10-12,0.7963,0.7963,1.44,0.7963
103,2022-10-11,0.785,0.785,0.77,0.785
104,2022-10-10,0.779,0.779,-2.33,0.779
105,2022-09-30,0.7976,0.7976,-0.6,0.7976
106,2022-09-29,0.8024,0.8024,0.53,0.8024
107,2022-09-28,0.7982,0.7982,-1.49,0.7982
108,2022-09-27,0.8103,0.8103,1.38,0.8103
109,2022-09-26,0.7993,0.7993,-0.06,0.7993
110,2022-09-23,0.7998,0.7998,-0.12,0.7998
111,2022-09-22,0.8008,0.8008,-0.81,0.8008
112,2022-09-21,0.8073,0.8073,-1.14,0.8073
113,2022-09-20,0.8166,0.8166,0.25,0.8166
114,2022-09-19,0.8146,0.8146,0.23,0.8146
115,2022-09-16,0.8127,0.8127,-2.2,0.8127
116,2022-09-15,0.831,0.831,-1.01,0.831
117,2022-09-14,0.8395,0.8395,-1.61,0.8395
118,2022-09-13,0.8532,0.8532,0.38,0.8532
119,2022-09-09,0.85,0.85,1.64,0.85
120,2022-09-08,0.8363,0.8363,-0.49,0.8363
121,2022-09-07,0.8404,0.8404,0.05,0.8404
122,2022-09-06,0.84,0.84,0.7,0.84
123,2022-09-05,0.8342,0.8342,-0.18,0.8342
124,2022-09-02,0.8357,0.8357,-0.71,0.8357
125,2022-09-01,0.8417,0.8417,-1.1,0.8417
126,2022-08-31,0.8511,0.8511,0.27,0.8511
127,2022-08-30,0.8488,0.8488,-0.5,0.8488
128,2022-08-29,0.8531,0.8531,-0.85,0.8531
