,date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
0,2005-01-05,50.09,43.85,31.43,28.79,0.0
1,2005-01-06,51.28,44.46,32.06,29.18,0.0
2,2005-01-07,51.0,43.84,32.02,28.73,0.0
3,2005-01-10,50.54,44.04,31.47,28.84,0.0
4,2005-01-11,51.31,44.45,32.35,29.09,0.0
5,2005-01-12,50.96,44.57,31.96,29.28,0.0
6,2005-01-13,50.76,44.56,31.86,29.32,0.0
7,2005-01-14,51.16,44.74,31.81,29.42,0.0
8,2005-01-17,50.91,44.18,31.47,28.93,0.0
9,2005-01-18,49.84,43.43,30.42,28.08,0.0
10,2005-01-19,50.23,43.9,30.85,28.48,0.0
11,2005-01-20,50.56,43.72,30.69,28.22,0.0
12,2005-01-21,50.77,43.34,30.93,27.67,0.0
13,2005-01-24,50.86,43.73,31.46,28.34,0.0
14,2005-01-25,51.41,44.44,31.64,28.9,0.0
15,2005-01-26,50.86,44.05,31.73,28.5,0.0
16,2005-01-27,50.89,43.74,31.47,28.19,0.0
17,2005-01-28,50.4,43.21,30.45,27.73,0.0
18,2005-01-31,49.37,42.35,29.71,27.36,0.0
19,2005-02-01,48.01,40.83,28.86,26.49,0.0
20,2005-02-02,47.72,40.37,28.4,26.26,0.0
21,2005-02-03,49.42,42.62,30.06,27.69,0.0
22,2005-02-04,48.39,41.66,29.37,27.29,0.0
23,2005-02-16,49.16,42.22,29.88,27.77,0.0
24,2005-02-17,49.78,42.7,30.4,28.11,0.0
25,2005-02-18,49.69,43.05,30.49,28.18,0.0
26,2005-02-21,49.29,42.58,30.05,28.0,0.0
27,2005-02-22,50.17,43.01,30.5,28.38,0.0
28,2005-02-23,50.37,44.36,31.36,29.28,0.0
29,2005-02-24,50.75,44.65,31.67,29.55,0.0
30,2005-02-25,50.77,44.86,31.88,29.66,0.0
31,2005-02-28,51.09,45.07,32.68,29.55,0.0
32,2005-03-01,50.68,45.35,31.75,29.37,0.0
33,2005-03-02,50.73,45.1,31.94,29.21,0.0
34,2005-03-03,51.27,44.61,31.66,28.82,0.0
35,2005-03-04,50.53,44.9,31.61,29.34,0.0
36,2005-03-07,50.83,44.7,31.64,28.98,0.0
37,2005-03-08,50.93,45.54,31.76,29.28,0.0
