,date,unit,accu,change_rate,accu_qfq
0,2023-06-30,6.0882,1.9548,1.04,6.0882
1,2023-06-29,6.0258,1.9348,0.04,6.025910251688152
2,2023-06-28,6.0233,1.934,-0.06,6.023418661755677
3,2023-06-27,6.0269,1.9351,1.03,6.026844597912829
4,2023-06-26,5.9656,1.9154,-1.73,5.9654891958256595
5,2023-06-21,6.0704,1.9491,-2.17,6.070447421731123
6,2023-06-20,6.2053,1.9924,-0.05,6.205304726826273
7,2023-06-19,6.2087,1.9935,-0.26,6.208730662983425
8,2023-06-16,6.2249,1.9987,0.89,6.224925997544505
9,2023-06-15,6.17,1.9811,0.93,6.170111019030079
10,2023-06-14,6.1134,1.9629,0.03,6.113427348066298
11,2023-06-13,6.1114,1.9623,0.32,6.111558655616942
12,2023-06-12,6.0922,1.9561,0.28,6.092248833640269
13,2023-06-09,6.0752,1.9506,0.89,6.075119152854511
14,2023-06-08,6.0216,1.9334,-0.23,6.021549969306323
15,2023-06-07,6.0355,1.9379,0.03,6.0355651626764875
16,2023-06-06,6.0339,1.9374,-1.85,6.034007918968692
17,2023-06-05,6.1478,1.9739,-0.11,6.147686709637814
18,2023-06-02,6.1545,1.9761,0.9,6.154538581952117
19,2023-06-01,6.0999,1.9586,0.08,6.10003505217925
20,2023-05-31,6.0948,1.9569,-0.16,6.094740423572744
21,2023-05-30,6.1044,1.96,0.62,6.1043953345610795
22,2023-05-29,6.0666,1.9479,-0.12,6.066710036832411
23,2023-05-26,6.074,1.9502,0.79,6.073873357888274
24,2023-05-25,6.0266,1.935,-0.29,6.026533149171271
25,2023-05-24,6.0444,1.9407,-0.76,6.044285727440147
26,2023-05-23,6.0907,1.9556,-1.02,6.090691589932473
27,2023-05-22,6.1533,1.9757,-0.01,6.1532927869858804
28,2023-05-19,6.1539,1.9759,-0.11,6.153915684468998
29,2023-05-18,6.1607,1.9781,0.15,6.160767556783302
30,2023-05-17,6.1516,1.9752,0.18,6.151735543278084
31,2023-05-16,6.1405,1.9716,-0.76,6.1405233885819515
32,2023-05-15,6.1877,1.9868,1.11,6.187863597298955
33,2023-05-12,6.1196,1.9649,-1.0,6.119656322897483
34,2023-05-11,6.1816,1.9848,-0.3,6.1816346224677705
35,2023-05-10,6.2001,1.9907,-0.13,6.2000100982197655
36,2023-05-09,6.2084,1.9934,-1.04,6.208419214241865
37,2023-05-08,6.2737,2.0144,0.8,6.273823449969306
38,2023-05-05,6.2242,1.9985,-0.95,6.224303100061387
39,2023-05-04,6.2836,2.0175,0.34,6.283478360957642
40,2023-04-28,6.2625,2.0108,1.37,6.262611295273174
41,2023-04-27,6.178,1.9836,0.27,6.17789723756906
42,2023-04-26,6.1616,1.9784,0.39,6.161701903007979
43,2023-04-25,6.1375,1.9706,-1.44,6.137408901166359
44,2023-04-24,6.2274,1.9995,-0.68,6.227417587476979
45,2023-04-21,6.2698,2.0131,-2.5,6.269774616329036
46,2023-04-20,6.4303,2.0646,-0.08,6.430170718232043
47,2023-04-19,6.4354,2.0663,-0.52,6.4354653468385505
48,2023-04-18,6.469,2.0771,-0.14,6.469101810926949
49,2023-04-17,6.4783,2.0801,0.43,6.478445273173725
50,2023-04-14,6.4504,2.0711,0.41,6.450414886433394
51,2023-04-13,6.4239,2.0626,-0.6,6.423941743400859
52,2023-04-12,6.4625,2.075,0.35,6.462561387354205
53,2023-04-11,6.44,2.0678,0.16,6.440137077961939
54,2023-04-10,6.4299,2.0645,-0.82,6.429859269490484
