,date,open,close,high,low,volume,volume_value,amplitude,volatility_ratio,volatility_price,change_rate
0,2021-11-08,0.989,0.993,1.0,0.986,15400663,1529940848.0,0.0,0.0,0.0,73.04
1,2021-11-09,0.994,0.991,0.999,0.987,15108023,1498455488.0,1.21,-0.2,-0.002,71.65
2,2021-11-10,0.99,0.983,0.99,0.968,15043695,1473264176.0,2.22,-0.81,-0.008,71.35
3,2021-11-11,0.982,0.998,1.0,0.982,14832643,1474003648.0,1.83,1.53,0.015,70.35
4,2021-11-12,1.0,0.992,1.003,0.99,14600884,1451461088.0,1.3,-0.6,-0.006,69.25
5,2021-11-15,0.993,0.99,0.994,0.983,14029336,1386173184.0,1.11,-0.2,-0.002,66.54
6,2021-11-16,0.99,0.993,0.999,0.988,14306856,1422702544.0,1.11,0.3,0.003,67.85
7,2021-11-17,0.993,0.992,0.997,0.989,12809409,1271818336.0,0.81,-0.1,-0.001,60.75
8,2021-11-18,0.99,0.983,0.991,0.98,14340411,1410736960.0,1.11,-0.91,-0.009,68.01
9,2021-11-19,0.982,0.995,0.998,0.981,14732313,1457306240.0,1.73,1.22,0.012,69.87
10,2021-11-22,0.995,1.005,1.006,0.995,14306930,1433836624.0,1.11,1.01,0.01,67.85
11,2021-11-23,1.005,1.002,1.007,1.0,9899958,993013424.0,0.7,-0.3,-0.003,46.95
12,2021-11-24,1.002,1.003,1.005,0.998,12218537,1223249024.0,0.7,0.1,0.001,57.95
13,2021-11-25,1.003,0.996,1.003,0.993,11717878,1168292928.0,1.0,-0.7,-0.007,55.57
14,2021-11-26,0.997,0.99,0.997,0.986,11562923,1145752064.0,1.1,-0.6,-0.006,54.84
15,2021-11-29,0.983,0.99,0.994,0.983,10227723,1013311680.0,1.11,0.0,0.0,48.51
16,2021-11-30,0.99,0.986,0.994,0.981,8506007,839347840.0,1.31,-0.4,-0.004,40.34
17,2021-12-01,0.984,0.984,0.987,0.978,9385729,921825712.0,0.91,-0.2,-0.002,44.51
18,2021-12-02,0.982,0.986,0.992,0.98,11428594,1127996304.0,1.22,0.2,0.002,54.2
19,2021-12-03,0.987,0.993,0.994,0.984,9787888,967470944.0,1.01,0.71,0.007,46.42
20,2021-12-06,0.992,0.993,1.002,0.991,9184550,915729968.0,1.11,0.0,0.0,43.56
21,2021-12-07,0.995,0.995,1.0,0.989,9319486,925550928.0,1.11,0.2,0.002,44.2
