,date,open,close,high,low,volume,volume_value,amplitude,volatility_ratio,volatility_price,change_rate
0,2022-07-18,0.985,1.004,1.004,0.985,3682591,366833510.071,0.0,0.0,0.0,136.76
1,2022-07-19,1.003,1.01,1.011,1.0,1962687,197719180.914,1.1,0.6,0.006,72.89
2,2022-07-20,1.01,1.019,1.019,1.009,1411838,143081029.353,0.99,0.89,0.009,52.43
3,2022-07-21,1.015,1.013,1.02,1.011,1306638,132761913.479,0.88,-0.59,-0.006,48.52
4,2022-07-22,1.013,1.002,1.017,0.991,1472787,148035671.197,2.57,-1.09,-0.011,54.69
5,2022-07-25,1.001,0.999,1.016,0.992,1127281,113050597.132,2.4,-0.3,-0.003,41.86
6,2022-07-26,1.0,1.013,1.014,0.991,870183,87408434.002,2.3,1.4,0.014,32.31
7,2022-07-27,1.01,1.027,1.029,1.008,621484,63388899.029,2.07,1.38,0.014,23.08
8,2022-07-28,1.031,1.034,1.041,1.028,558024,57692520.507,1.27,0.68,0.007,20.72
9,2022-07-29,1.037,1.034,1.041,1.032,277874,28792889.412,0.87,0.0,0.0,10.32
10,2022-08-01,1.032,1.039,1.039,1.022,250835,25919813.497,1.64,0.48,0.005,9.31
11,2022-08-02,1.031,1.003,1.031,0.991,464928,46797314.336,3.85,-3.46,-0.036,17.27
12,2022-08-03,1.006,0.999,1.024,0.996,353227,35751707.943,2.79,-0.4,-0.004,13.12
13,2022-08-04,1.008,1.012,1.014,0.992,521414,52262214.298,2.2,1.3,0.013,19.36
14,2022-08-05,1.009,1.025,1.027,1.006,296910,30136829.58,2.08,1.28,0.013,11.03
15,2022-08-08,1.024,1.039,1.041,1.018,412900,42574330.497,2.24,1.37,0.014,15.33
16,2022-08-09,1.038,1.039,1.04,1.031,185439,19209137.87,0.87,0.0,0.0,6.89
17,2022-08-10,1.038,1.046,1.046,1.035,370211,38591245.565,1.06,0.67,0.007,13.75
18,2022-08-11,1.051,1.055,1.056,1.046,354624,37301585.131,0.96,0.86,0.009,13.17
19,2022-08-12,1.055,1.044,1.059,1.043,252768,26577565.068,1.52,-1.04,-0.011,9.39
20,2022-08-15,1.04,1.051,1.054,1.033,239994,25157116.476,2.01,0.67,0.007,8.91
21,2022-08-16,1.05,1.06,1.065,1.05,289455,30665028.491,1.43,0.86,0.009,10.75
22,2022-08-17,1.058,1.061,1.064,1.054,219821,23288532.381,0.94,0.09,0.001,8.16
23,2022-08-18,1.058,1.067,1.067,1.058,235800,25032958.249,0.85,0.57,0.006,8.76
24,2022-08-19,1.068,1.05,1.07,1.049,279492,29578315.824,1.97,-1.59,-0.017,10.38
25,2022-08-22,1.05,1.06,1.06,1.043,473153,49775060.81,1.62,0.95,0.01,17.57
26,2022-08-23,1.058,1.065,1.065,1.055,298868,31705010.944,0.94,0.47,0.005,11.1
27,2022-08-24,1.061,1.033,1.065,1.026,418019,43625915.926,3.66,-3.0,-0.032,15.52
28,2022-08-25,1.032,1.024,1.034,1.011,327839,33449123.902,2.23,-0.87,-0.009,12.17
29,2022-08-26,1.022,1.017,1.035,1.015,242388,24888094.352,1.95,-0.68,-0.007,9.0
30,2022-08-29,1.003,1.027,1.027,0.996,196051,19880656.735,3.05,0.98,0.01,7.28
31,2022-08-30,1.026,1.02,1.03,1.015,246779,25197825.122,1.46,-0.68,-0.007,9.16
32,2022-08-31,1.013,0.989,1.018,0.983,354303,35274443.91,3.43,-3.04,-0.031,13.16
33,2022-09-01,0.979,0.983,0.997,0.979,266193,26249063.954,1.82,-0.61,-0.006,9.89
34,2022-09-02,0.984,0.997,0.998,0.981,227669,22571157.765,1.73,1.42,0.014,8.45
35,2022-09-05,0.99,0.999,1.005,0.99,265714,26504777.216,1.5,0.2,0.002,9.87
36,2022-09-06,1.0,1.015,1.016,0.997,228247,22978758.317,1.9,1.6,0.016,8.48
37,2022-09-07,1.015,1.019,1.024,1.01,159748,16269361.604,1.38,0.39,0.004,5.93
38,2022-09-08,1.019,1.01,1.022,1.008,147859,14985329.412,1.37,-0.88,-0.009,5.49
39,2022-09-09,1.013,1.01,1.013,1.0,253927,25550732.324,1.29,0.0,0.0,9.43
40,2022-09-13,1.008,1.006,1.016,1.003,228433,22993449.457,1.29,-0.4,-0.004,8.48
41,2022-09-14,0.997,0.996,1.0,0.99,284368,28259579.466,0.99,-0.99,-0.01,10.56
42,2022-09-15,1.0,0.977,1.0,0.959,297966,29044831.432,4.12,-1.91,-0.019,11.07
43,2022-09-16,0.965,0.95,0.977,0.949,253430,24358062.563,2.87,-2.76,-0.027,9.41
44,2022-09-19,0.941,0.935,0.953,0.928,224183,21037694.61,2.63,-1.58,-0.015,8.33
45,2022-09-20,0.941,0.951,0.957,0.94,366507,34809732.0,1.82,1.71,0.016,13.61
46,2022-09-21,0.947,0.953,0.956,0.935,221110,20937223.447,2.21,0.21,0.002,8.21
47,2022-09-22,0.945,0.956,0.964,0.94,251060,23985354.975,2.52,0.31,0.003,9.32
48,2022-09-23,0.955,0.936,0.958,0.929,295388,27825770.588,3.03,-2.09,-0.02,10.97
49,2022-09-26,0.927,0.921,0.938,0.917,419886,38965479.824,2.24,-1.6,-0.015,15.59
50,2022-09-27,0.92,0.94,0.94,0.92,357738,33208293.327,2.17,2.06,0.019,13.28
51,2022-09-28,0.936,0.915,0.94,0.913,662602,61231509.36,2.87,-2.66,-0.025,24.61
52,2022-09-29,0.92,0.915,0.927,0.91,506975,46557893.314,1.86,0.0,0.0,18.83
53,2022-09-30,0.913,0.9,0.917,0.899,687781,62325103.955,1.97,-1.64,-0.015,25.54
54,2022-10-10,0.901,0.882,0.904,0.877,743585,66250774.834,3.0,-2.0,-0.018,27.61
55,2022-10-11,0.879,0.887,0.892,0.874,305415,27008899.4,2.04,0.57,0.005,11.34
56,2022-10-12,0.887,0.92,0.92,0.877,392413,35142270.726,4.85,3.72,0.033,14.57
57,2022-10-13,0.91,0.927,0.934,0.91,298069,27564960.6,2.61,0.76,0.007,11.07
58,2022-10-14,0.93,0.948,0.951,0.93,275408,25897677.2,2.27,2.27,0.021,10.23
59,2022-10-17,0.946,0.962,0.963,0.942,328366,31318697.096,2.22,1.48,0.014,12.19
60,2022-10-18,0.966,0.963,0.974,0.953,325264,31342923.786,2.18,0.1,0.001,12.08
61,2022-10-19,0.958,0.96,0.966,0.953,343764,32937646.142,1.35,-0.31,-0.003,12.77
