,date,value
0,2014-11-17,1300000.0
1,2014-11-18,484500.0
2,2014-11-19,261200.0
3,2014-11-20,227600.0
4,2014-11-21,234100.0
5,2014-11-24,695600.0
6,2014-11-25,285300.0
7,2014-11-26,329500.0
8,2014-11-27,299000.0
9,2014-11-28,234500.0
10,2014-12-01,139800.0
11,2014-12-02,331100.0
12,2014-12-03,386100.0
13,2014-12-04,352100.0
14,2014-12-05,256700.0
15,2014-12-08,167700.0
16,2014-12-09,115900.0
17,2014-12-10,194100.0
18,2014-12-11,107400.0
19,2014-12-12,186200.0
20,2014-12-15,106800.0
21,2014-12-16,131800.0
22,2014-12-17,64800.0
23,2014-12-18,190800.0
24,2014-12-19,107100.0
25,2014-12-22,142800.0
26,2014-12-23,65300.0
27,2014-12-29,75000.0
28,2014-12-30,-63000.0
29,2014-12-31,231200.0
30,2015-01-05,468900.0
31,2015-01-06,209100.0
32,2015-01-07,175300.0
33,2015-01-08,107800.0
34,2015-01-09,161700.0
35,2015-01-12,-113300.0
36,2015-01-13,-11600.0
37,2015-01-14,72100.0
38,2015-01-15,100800.0
39,2015-01-16,42200.0
40,2015-01-19,-32700.0
41,2015-01-20,242400.0
42,2015-01-21,213500.0
43,2015-01-22,25000.0
44,2015-01-23,42400.0
45,2015-01-26,58700.0
46,2015-01-27,113700.0
47,2015-01-28,183200.0
48,2015-01-29,288600.0
49,2015-01-30,181600.0
50,2015-02-02,233612.0
51,2015-02-03,495800.0
52,2015-02-04,216700.0
53,2015-02-05,380600.0
54,2015-02-06,154000.0
55,2015-02-09,199900.0
56,2015-02-10,182400.0
57,2015-02-11,176700.0
58,2015-02-12,141000.0
59,2015-02-13,215700.0
60,2015-02-16,32800.0
61,2015-02-17,40300.0
62,2015-02-25,117300.0
63,2015-02-26,-27400.0
64,2015-02-27,81200.0
65,2015-03-02,112700.0
66,2015-03-03,64100.0
67,2015-03-04,62200.0
68,2015-03-05,81900.0
69,2015-03-06,46500.0
70,2015-03-09,66500.0
71,2015-03-10,10300.0
72,2015-03-11,96000.0
73,2015-03-12,171900.0
74,2015-03-13,166400.0
75,2015-03-16,152000.0
76,2015-03-17,232400.0
77,2015-03-18,174000.0
78,2015-03-19,20800.0
