,date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
0,2007-01-15,54.17,63.72,35.21,42.85,1986.54
1,2007-01-16,55.37,65.5,36.98,44.88,2055.02
2,2007-01-17,56.53,66.04,38.69,46.06,2035.65
3,2007-01-18,56.81,66.03,38.22,45.4,2085.4
4,2007-01-19,59.01,66.65,39.15,46.82,2159.64
5,2007-01-22,60.45,68.39,41.03,47.77,2258.99
6,2007-01-23,62.3,70.99,42.86,50.36,2261.78
7,2007-01-24,60.21,70.21,42.31,49.83,2283.7
8,2007-01-25,60.43,70.44,42.42,49.56,2174.24
9,2007-01-26,59.65,68.57,40.52,48.41,2186.27
10,2007-01-29,60.34,69.3,40.58,48.07,2260.6
11,2007-01-30,59.92,69.74,41.74,49.74,2255.94
12,2007-01-31,61.91,70.29,42.13,49.98,2142.89
13,2007-02-01,60.41,68.33,40.68,47.14,2165.41
14,2007-02-02,61.15,67.55,40.94,47.46,2127.1
15,2007-02-05,59.56,65.72,40.11,47.23,2152.25
16,2007-02-06,60.84,66.45,40.32,47.82,2198.24
17,2007-02-07,60.04,68.11,41.12,48.33,2237.94
18,2007-02-08,61.72,69.28,41.73,49.47,2278.45
19,2007-02-09,60.97,68.84,42.5,50.53,2287.38
20,2007-02-12,61.09,69.09,42.45,50.44,2341.07
21,2007-02-13,62.37,70.08,43.55,51.52,2384.16
22,2007-02-14,62.82,71.32,44.18,52.53,2435.96
23,2007-02-15,63.0,72.84,44.42,53.94,2512.4
24,2007-02-16,65.02,74.55,45.94,55.36,2541.41
25,2007-02-26,65.32,75.92,47.15,56.27,2642.11
26,2007-02-27,69.41,77.88,48.96,57.67,2405.57
27,2007-02-28,63.26,72.2,44.21,52.73,2513.53
28,2007-03-01,66.58,74.44,45.7,54.14,2459.51
29,2007-03-02,64.34,72.36,44.15,52.88,2503.68
30,2007-03-05,65.54,73.74,45.63,53.41,2511.92
31,2007-03-06,66.3,73.95,46.54,54.14,2516.0
32,2007-03-07,66.11,75.19,46.35,54.4,2580.6
33,2007-03-08,66.71,76.57,47.23,55.45,2634.88
34,2007-03-09,68.17,77.12,47.62,56.22,2638.05
35,2007-03-12,68.34,78.16,47.97,57.94,2696.5
36,2007-03-13,68.41,78.24,48.5,58.91,2727.45
37,2007-03-14,68.64,78.57,48.49,59.04,2708.69
38,2007-03-15,68.3,77.41,48.49,59.06,2760.84
39,2007-03-16,69.64,78.03,49.85,59.44,2710.86
40,2007-03-19,68.81,77.68,49.22,59.15,2751.48
41,2007-03-20,69.39,78.76,50.2,60.29,2810.71
42,2007-03-21,70.27,80.56,50.29,61.8,2859.01
43,2007-03-22,71.42,80.87,51.61,62.8,2861.15
