,date,unit,accu,change_rate,accu_qfq
0,2023-03-21,1.0495,1.0495,-0.28,1.0495
1,2023-03-20,1.0524,1.0524,-0.24,1.0524
2,2023-03-17,1.0549,1.0549,-0.18,1.0549
3,2023-03-16,1.0568,1.0568,0.16,1.0568
4,2023-03-15,1.0551,1.0551,0.94,1.0551
5,2023-03-14,1.0453,1.0453,-0.74,1.0453
6,2023-03-13,1.0531,1.0531,0.25,1.0531
7,2023-03-10,1.0505,1.0505,-1.34,1.0505
8,2023-03-09,1.0648,1.0648,-0.61,1.0648
9,2023-03-08,1.0713,1.0713,-0.59,1.0713
10,2023-03-07,1.0777,1.0777,0.07,1.0777
11,2023-03-06,1.0769,1.0769,-1.51,1.0769
12,2023-03-03,1.0934,1.0934,0.81,1.0934
13,2023-03-02,1.0846,1.0846,0.3,1.0846
14,2023-03-01,1.0814,1.0814,1.16,1.0814
15,2023-02-28,1.069,1.069,0.37,1.069
16,2023-02-27,1.0651,1.0651,-0.49,1.0651
17,2023-02-24,1.0703,1.0703,-0.81,1.0703
18,2023-02-23,1.079,1.079,0.09,1.079
19,2023-02-22,1.078,1.078,-0.74,1.078
20,2023-02-21,1.086,1.086,0.1,1.086
21,2023-02-20,1.0849,1.0849,2.61,1.0849
22,2023-02-17,1.0573,1.0573,-0.8,1.0573
23,2023-02-16,1.0658,1.0658,-0.13,1.0658
24,2023-02-15,1.0672,1.0672,-0.93,1.0672
25,2023-02-14,1.0772,1.0772,0.41,1.0772
26,2023-02-13,1.0728,1.0728,-0.78,1.0728
27,2023-02-10,1.0812,1.0812,-0.11,1.0812
28,2023-02-09,1.0824,1.0824,0.33,1.0824
29,2023-02-08,1.0788,1.0788,-0.19,1.0788
30,2023-02-07,1.0808,1.0808,0.33,1.0808
31,2023-02-06,1.0772,1.0772,-0.91,1.0772
32,2023-02-03,1.0871,1.0871,-0.94,1.0871
33,2023-02-02,1.0974,1.0974,-0.53,1.0974
34,2023-02-01,1.1033,1.1033,-0.5,1.1033
35,2023-01-31,1.1088,1.1088,-0.96,1.1088
36,2023-01-30,1.1195,1.1195,0.28,1.1195
37,2023-01-20,1.1164,1.1164,0.19,1.1164
38,2023-01-19,1.1143,1.1143,0.04,1.1143
39,2023-01-18,1.1139,1.1139,0.05,1.1139
40,2023-01-17,1.1133,1.1133,-0.04,1.1133
41,2023-01-16,1.1137,1.1137,0.2,1.1137
42,2023-01-13,1.1115,1.1115,1.05,1.1115
43,2023-01-12,1.1,1.1,0.02,1.1
44,2023-01-11,1.0998,1.0998,0.94,1.0998
45,2023-01-10,1.0896,1.0896,-1.1,1.0896
46,2023-01-09,1.1017,1.1017,0.17,1.1017
47,2023-01-06,1.0998,1.0998,-0.18,1.0998
48,2023-01-05,1.1018,1.1018,-0.12,1.1018
49,2023-01-04,1.1031,1.1031,1.97,1.1031
50,2023-01-03,1.0818,1.0818,0.45,1.0818
51,2022-12-31,1.077,1.077,,1.077
52,2022-12-30,1.077,1.077,0.62,1.077
53,2022-12-29,1.0704,1.0704,-0.55,1.0704
54,2022-12-28,1.0763,1.0763,0.99,1.0763
55,2022-12-27,1.0658,1.0658,1.72,1.0658
56,2022-12-26,1.0478,1.0478,-0.49,1.0478
57,2022-12-23,1.053,1.053,-0.4,1.053
58,2022-12-22,1.0572,1.0572,0.36,1.0572
59,2022-12-21,1.0534,1.0534,0.5,1.0534
60,2022-12-20,1.0482,1.0482,-1.41,1.0482
61,2022-12-19,1.0632,1.0632,-1.62,1.0632
62,2022-12-16,1.0807,1.0807,1.19,1.0807
63,2022-12-15,1.068,1.068,-1.19,1.068
64,2022-12-14,1.0809,1.0809,0.36,1.0809
65,2022-12-13,1.077,1.077,0.8,1.077
66,2022-12-12,1.0685,1.0685,-1.97,1.0685
67,2022-12-09,1.09,1.09,1.08,1.09
68,2022-12-08,1.0784,1.0784,0.79,1.0784
69,2022-12-07,1.07,1.07,-1.08,1.07
70,2022-12-06,1.0817,1.0817,-0.15,1.0817
71,2022-12-05,1.0833,1.0833,2.74,1.0833
72,2022-12-02,1.0544,1.0544,-0.75,1.0544
73,2022-12-01,1.0624,1.0624,-0.55,1.0624
74,2022-11-30,1.0683,1.0683,-0.49,1.0683
75,2022-11-29,1.0736,1.0736,4.53,1.0736
76,2022-11-28,1.0271,1.0271,-1.8,1.0271
77,2022-11-25,1.0459,1.0459,2.34,1.0459
78,2022-11-24,1.022,1.022,-0.21,1.022
79,2022-11-23,1.0241,1.0241,0.37,1.0241
80,2022-11-22,1.0203,1.0203,1.8,1.0203
81,2022-11-21,1.0023,1.0023,-0.3,1.0023
82,2022-11-18,1.0053,1.0053,-0.57,1.0053
83,2022-11-17,1.0111,1.0111,-0.68,1.0111
84,2022-11-16,1.018,1.018,-0.67,1.018
85,2022-11-15,1.0249,1.0249,0.26,1.0249
86,2022-11-14,1.0222,1.0222,2.04,1.0222
87,2022-11-11,1.0018,1.0018,3.33,1.0018
88,2022-11-10,0.9695,0.9695,0.18,0.9695
89,2022-11-09,0.9678,0.9678,0.04,0.9678
90,2022-11-08,0.9674,0.9674,-0.07,0.9674
91,2022-11-07,0.9681,0.9681,-0.07,0.9681
92,2022-11-04,0.9688,0.9688,1.93,0.9688
93,2022-11-03,0.9505,0.9505,-0.84,0.9505
94,2022-11-02,0.9586,0.9586,-0.06,0.9586
95,2022-11-01,0.9592,0.9592,1.65,0.9592
96,2022-10-31,0.9436,0.9436,-1.26,0.9436
97,2022-10-28,0.9556,0.9556,-0.67,0.9556
98,2022-10-27,0.962,0.962,-0.23,0.962
99,2022-10-26,0.9642,0.9642,-0.93,0.9642
100,2022-10-25,0.9733,0.9733,-0.17,0.9733
101,2022-10-24,0.975,0.975,-2.71,0.975
102,2022-10-21,1.0022,1.0022,-0.41,1.0022
103,2022-10-20,1.0063,1.0063,-0.29,1.0063
104,2022-10-19,1.0092,1.0092,-1.13,1.0092
105,2022-10-18,1.0207,1.0207,-0.15,1.0207
106,2022-10-17,1.0222,1.0222,-0.1,1.0222
107,2022-10-14,1.0232,1.0232,1.01,1.0232
108,2022-10-13,1.013,1.013,-1.55,1.013
109,2022-10-12,1.029,1.029,0.44,1.029
110,2022-10-11,1.0245,1.0245,-0.3,1.0245
111,2022-10-10,1.0276,1.0276,-1.32,1.0276
112,2022-09-30,1.0413,1.0413,0.62,1.0413
113,2022-09-29,1.0349,1.0349,-1.17,1.0349
114,2022-09-28,1.0471,1.0471,0.11,1.0471
115,2022-09-27,1.0459,1.0459,0.36,1.0459
116,2022-09-26,1.0422,1.0422,-1.59,1.0422
117,2022-09-23,1.059,1.059,0.43,1.059
118,2022-09-22,1.0545,1.0545,-0.26,1.0545
119,2022-09-21,1.0573,1.0573,0.41,1.0573
120,2022-09-20,1.053,1.053,-0.96,1.053
121,2022-09-19,1.0632,1.0632,0.39,1.0632
122,2022-09-16,1.0591,1.0591,-1.99,1.0591
123,2022-09-15,1.0806,1.0806,1.1,1.0806
124,2022-09-14,1.0688,1.0688,-0.82,1.0688
125,2022-09-13,1.0776,1.0776,0.8,1.0776
126,2022-09-09,1.069,1.069,1.64,1.069
